question,answer,normalized_aliases,accurate_judgement,logits
"Which Disney film includes the characters Bubbles,Crush and Mr Ray?"," Finding Nemo
","['just keep swimming', 'finding nemo film', 'finding nemo', 'bruce shark', 'list of finding nemo characters', 'dory finding nemo', 'mount wannahockaloogie', 'nemo finding nemo', 'finding nemo characters', 'bruce shark finding nemo', 'finding nemo 3d', 'finding nemo – musical', 'marlin finding nemo', 'finding nemo musical', 'finding nemo soundtrack', 'finding nemo escape to big blue']",Correct,"[[0.8727816939353943, 0.12721826136112213]]"
"""In 2008, who was nicknamed """"The King of Clay""""?"""," Rafael Nadal
","['fundación rafa nadal', 'rafael nadal foundation', 'nadal', 'rafael 22rafa 22 nadal parera', 'fundacion rafa nadal', 'raphael nadal', 'rafa nadal', 'rafael nadal', 'rafa nadal foundation', 'r nadal', 'rafael nadal parera', 'king of clay']",Correct,"[[0.8778960704803467, 0.12210385501384735]]"
Irish is one of the official languages of the Republic of Ireland. What is the other?," English
","['english disambiguation', 'inglisj', 'engish', 'englis', 'english', 'englilsh', 'englissh', 'egnlish', 'enlish']",Correct,"[[0.8381505608558655, 0.16184943914413452]]"
Who sang the theme for the Jams Bond film ‘Octopussy’?," Rita Coolidge
",['rita coolidge'],Correct,"[[0.696784257888794, 0.30321574211120605]]"
"What is the name of the major Greek stadium in Athens that was the venue for the opening and closing ceremonies, athletics events and the football (soccer) final at the 2004 Summer Olympics?"," Olympic Stadium
","['olympic stadiums', 'olympic stadium', 'olympish stadion']",Correct,"[[0.6992543935775757, 0.30074557662010193]]"
"What is the palace and fortress complex of the Moorish rulers of Granada in southern Spain constructed during the mid 14th century that occupies a hilly terrace on the southeastern border of the city of Granada, Spain?"," Alhambra
","['al hambra', 'alhambra of granada', 'alhambra', 'allhambra', 'red fortress', 'al ħamrā', 'calat alhambra', 'alhambra palace', 'qal at al hambra', 'الحمراء']",Correct,"[[0.9199306964874268, 0.08006926625967026]]"
"""What kind of quality is """"priapic""""?"""," Erotic
","['lecherousness', 'lecheries', 'lechers', 'sexual desires', 'leched', 'letchery', 'lecherously', 'luxuria vice', 'leching', 'lustful', 'lust']",Incorrect,"[[0.5926666259765625, 0.4073334336280823]]"
Who founded the Theatre Union in 1936 and the Theatre Workshop in 1945 (both in Manchester)?," Joan Littlewood
","['joan littlewood', 'maudie joan littlewood']",Correct,"[[0.722527027130127, 0.27747300267219543]]"
"Which national park, famous for aboriginal rock paintings, is near Darwin?"," Kakadu
","['kakadu national park', 'kakadu national park stage 2', 'kakadu national park stage 1']",Incorrect,"[[0.875361442565918, 0.12463857978582382]]"
Who won best actor at the 80th Academy Awards of 2008?," Daniel Day-Lewis
","['daniel day louis', 'daniel day lewis', 'sir daniel day lewis', 'daniel day luas', 'day lewis daniel', 'daniel michael blake day lewis']",Incorrect,"[[0.8778960704803467, 0.12210385501384735]]"
What name is given to a word formed from the initial letters of a series of words e.g. AIDS?," Acronym
","['empty acronym', 'acroynm', 'three letter combination', 'two letter acronym', 'acronim', 'three letter abbreviations tlas', '3cc', 'acronem', 'pseudo initialism', 'anacronym', 'macronym', 'orphan initialism', 'list of tlas', 'acronyms initialisms and alphabetisms', 'acronymization', 'intialism', 'anti acronym', 'akronym', 'contrived acronym', 'tla e', 'threeletter', 'list of all three letter acronyms', 'two letter acronyms', 'ackronym', 'alphabetism', 'pseudo acronym', 'fasgrolia', '3 letter combination', 'acronisms', 'three letter acronyms', 'acronymy', 'acronyms and initialisms', 'orphaned initialism', 'acronism', 'pseudoacronym', 'initialism', 'acronymic', 'initialism and acronym', 'orphan acronym', 'acronym and initialism', 'initialisms', 'three letter abbreviations', 'initialism and acronyms', '3 letter abbreviation', 'acronyms', 'acronym', 'acronym plurals', 'acronymous', 'acronise', 'alphabeticism']",Correct,"[[0.8464508652687073, 0.1535491794347763]]"
"What is the traditional name for the disease Oedema, a swelling of any organ or tissue due to the accumulation of excess lymph fluid?"," Dropsy
","['pedal edema', 'pitting edema', 'laryngeal edema', 'dropsically', 'oedemas', 'edemas', 'edemia', 'dropsy', 'dropsical', 'oedema due to heart failure', 'edema', 'oedematous', 'hydropic', 'fat hand syndrome', 'oedema', 'localized oedema', 'œdemas', 'hydropsy', 'œdema', 'oedema due to hypoproteinaemia', 'edematous', 'odemas']",Correct,"[[0.7613611221313477, 0.23863889276981354]]"
"What country invaded the Falkland Islands on Friday, April 2, 1982, and probably regretted it after Iron Maggie kicked their asses and took the Islands back?"," Argentina
","['arxentina', 'argentina information', 'argentinie', 'nacion argentina', 'argentyna', 'people of argintina', 'argjentina', 'republica argentina', 'antonia merce y luque', 'argentína', 'arc hantina', 'ariannin', 'argies', 'argentinean', 'airgintín', 'argentīna', 'iso 3166 1 ar', 'arjantin', 'república argentina', 'argentinien', 'արգենտինա', 'airgintin', 'nación argentina', 'argentinia', 'argentina', 'arxintina', 'アルゼンチン', 'republic of argentina', 'argentina republic', 'אַרגענטינע', 'argintina', 'अर्जेन्टीना', 'argentine republic', 'argentiina', 'آرژانتین', 'аргентына', 'arghantina', 'argie', 'аржентина', 'argentinië', 'ארגנטינה', 'الأرجنتين', 'land of silver']",Correct,"[[0.8762113451957703, 0.12378870695829391]]"
Which UK television game show is the setting for the novel ‘Starter For 10’ by David Nicholls?," University Challenge
","['elementary challenge', 'university challenge professionals', 'university challenge']",Correct,"[[0.7690802216529846, 0.2309197634458542]]"
"Ellen Johnson Sirleaf was elected president in 2005 of which war-torn African country, bordered by Sierra Leone, Guinea, and Côte d'Ivoire?"," Liberia
","['liberia west africa', 'republic of liberia', 'sport in liberia', 'liberian republic', 'health care in liberia', 'liberia', 'libéria', 'subdivisions of liberia', 'name of liberia', 'iso 3166 1 lr']",Correct,"[[0.9089417457580566, 0.09105828404426575]]"
Gules is which colour in heraldry?," Red
","['red colour', 'incarnadined', 'reddened', 'aztec red', '255 0 0', 'color red', 'incarnadines', 'reddeners', 'reddens', 'raudur', 'firebrick red', 'incarnadine', 'redest', 'reddener', 'rauður', 'red political adjective', 'redly', 'reddishness', 'redness', 'red', 'reddest', 'red color', 'red movement', 'ff0000', 'redishness', 'rgb 255 0 0', 'reddishly', 'list of terms associated with color red', 'incarnadining', 'redishly']",Correct,"[[0.8688268065452576, 0.13117322325706482]]"
Croissants are usually associated with France. But which country are they from originally?," Turkey
","['republik osterreich', 'republik oesterreich', 'austria', 'austurriki', 'administrative divisions of austria', 'austrian architecture', 'alpine deutschen', 'eastreach', 'oostenrijk', 'austurríki', 'architecture of austria', 'avstria', 'etymology of austria', 'österreich', 'osterreich', 'republik österreich', 'oesterreich', 'easterrealm', 'republic of austria', 'austrian republic', 'österrike', 'iso 3166 1 at', 'ostria', 'autriche']",Incorrect,"[[0.7527403235435486, 0.24725967645645142]]"
Which alcoholic drink is often referred to in historical literature as ‘The Green Fairy’?," Absinthe
","['abstinthe', 'abasinthe', 'absinthe', 'absenthe', 'absinthisme', 'apsenth', 'apsinth', 'green fairy', 'absinth', 'la fee verte', 'absinthism', 'absenta']",Correct,"[[0.8868131041526794, 0.11318691074848175]]"
What was the name of the Cyclops blinded by Odysseus?," Polyphemus
","['polyphemos', 'polyphemo', 'polyphemon', 'polyphemus']",Correct,"[[0.8980534672737122, 0.10194651782512665]]"
Which country does the airline Ladeco come from?," Chile
","['cxilio', 'etymology of chile', 'republic of chile', 'chilean republic', 'chile', 'name of chile', 'chilé', 'iso 3166 1 cl', 'república de chile', 'state of chile', 'cile']",Correct,"[[0.7310585975646973, 0.2689414322376251]]"
Which group had a UK hit in August 1966 with the song 'With A Girl Like You'?,"1910 Fruitgum Company
","['give it to me troggs song', 'troggs', 'cellophane troggs album', 'listen to man troggs song', 'mixed bag troggs album', 'trogs']",Incorrect,"[[0.42155182361602783, 0.5784481763839722]]"
What was Van Gogh's first name?," Vincent
","['vincent given name', 'vincent', 'vincentius', 'vincent name']",Correct,"[[0.9329437017440796, 0.06705628335475922]]"
Which US President was born William Jefferson Blythe III?,"42nd - Bill Clinton
","['william jefferson blythe iv', 'william clinton', 'clinton bill', 'william jefferson blythe iii', 'bill blythe iv', 'willam jefferson blythe iii', 'president clinton', 'billll clinton', 'clintonesque', 'william blythe iii', 'billl clinton', 'bubba clinton', 'bill clinton 5c', 'bull clinton', 'virginia clinton', 'bill jefferson clinton', 'william 22bill 22 clinton', '42nd president of united states', 'bill j clinton', 'us president bill clinton', 'clinton gore administration', 'virginia clinton kelly', 'billclinton', 'billy clinton', 'bill klinton', 'buddy clinton s dog', 'bill clinton', 'williamjeffersonclinton', 'william j blythe', 'mtv president', 'william jefferson bill clinton', 'klin ton', 'william j clinton', 'bill clinton s post presidency', 'william jefferson 22bill 22 clinton', 'willy clinton', 'bil clinton', 'virginia cassidy blythe', 'william j blythe iii', 'president bill clinton', 'virginia kelly', 'bill clinton s sex scandals', 'william jefferson clinton']",Incorrect,"[[0.7025300860404968, 0.29746994376182556]]"
Ergophobia is an inordinate fear of what?," Work
","['work', 'worked', 'work disambiguation', 'wrk', 'work song', 'do work']",Correct,"[[0.7759445905685425, 0.2240554541349411]]"
"""The Jake Gaudaur Veterans' Trophy, presented annually to the Canadian Football League player """"who best demonstrates the attributes of Canada's veterans in times of war, peace and military conflict"""", was first awarded in 2010 to Mike McCullough who played for which team?"""," Hamilton Tiger-Cats
","['western riders', 'green riders', 'regina rugby club', 'regina roughriders', 'saskatchewan roughriders', 'saskatchewan rough riders']",Incorrect,"[[0.5448014140129089, 0.45519861578941345]]"
What TV show featured characters named Tinky-Winky and Laa-Laa?," Teletubbies
","['teletubbies', 'tubbies', 'laa laa', 'tubby toast', 'tubbytronic superdome', 'tellytubby', 'po tv character', 'laalaa', 'teletubbiegate', 'tele tubbies', 'real teletubbies', 'teletubbies characters', 'teletubby', 'tellitubies', 'telly tubbies', 'teletubbie', 'tinky winky', 'tellitubbies', 'tubb tubb', 'po teletubbies', 'tubby custard', 'dipsy', 'teletubbies trivia', 'noo noo', 'po teletubby', 'tinky winky dipsy laa laa and po', 'tellytubbies', 'teletubies', 'eh oh']",Correct,"[[0.907967209815979, 0.09203287214040756]]"
"Which children's cartoon series featured characters called Lion-O, Cheetara, Panthro and Tygra?"," ThunderCats
","['thundercats outtakes', 'thundercats 1985 tv series', 'slithe', 'thunder cat', 'thundrilliam', 'thundercats', 'jackalman', 'monkian', 'thunder cats', 'thuder cat']",Correct,"[[0.8918110132217407, 0.10818894952535629]]"
"April 3, 1882 saw Robert Ford shoot what Wild West legend in the back of the head as he stood to clean a picture hanging on the wall?"," Jesse James
","['jesse james outlaw', 'jesse james', 'mr howard', 'jesse w james', 'jesse james northfield raid', 'jesse woodson james']",Correct,"[[0.8647679686546326, 0.1352320909500122]]"
What is England's tallest building,"1 Canada Square
","['shard london bridge', 'london bridge tower', 'shard london bridge tower', 'shard skyscraper', 'shard', 'london shard', '32 london bridge', 'shard of glass', 'shangri la london', 'shard london']",Incorrect,"[[0.49609383940696716, 0.5039061903953552]]"
Which English novelist is probably best remembered for his 1957 novel Room At the Top?," John Braine
","['john braine', 'john gerard braine']",Correct,"[[0.8267117738723755, 0.17328819632530212]]"
On which Pacific island did Captain James Cook see the Transit of Venus in 1769?," Tahiti
","['history of tahiti', 'tahitian politics', 'otaheite', 'kahiki', 'culture of tahiti', 'demographics of tahiti', 'politics of tahiti', 'otaheiti', 'pacific tahiti', 'tahiti', 'tahiti french polynesia', 'tahitian political parties', 'taiti']",Correct,"[[0.703345775604248, 0.29665425419807434]]"
"What is the popular name for Sirius, which is 9 light years from Earth?"," Dog Star
","['dog star', 'dog star disambiguation', 'dogstar']",Correct,"[[0.8322367072105408, 0.167763352394104]]"
According to a study of international Wikipedia articles who did Massachusetts Institute of Technology judge the most famous person of all time (at 2014)?," Jesus
","['aristotelis', 'aristotele', 'aristotelean philosophy', 'aristotles', 'αριστοτέλης', 'mraristotle', 'aristotelo', 'aristotle of stagira', 'arystoteles', 'aristoteles', 'aristutalis', 'artisole', 'stagirite', 'artistotle', 'aristotel', 'philosophy of aristotle', 'aristotles theories', 'aristole', 'aristotole', 'aristotle s', 'stagyrite', 'aristotle', 'it is mark of']",Incorrect,"[[0.4843800961971283, 0.5156199336051941]]"
How old must you be to vote in a British parliamentary election?,"18
","['eighteen', '18']",Correct,"[[0.8283842206001282, 0.1716158092021942]]"
What is the longest running show on MTV?,"120 Minutes
","['real world maui', 'real world tv series', 'real world', 'real world pittsburgh', 'real world mtv']",Incorrect,"[[0.16667540371418, 0.8333246111869812]]"
The establishment of which law officers dates from 1194?," Sheriffs
","['coronial inquiry', 'forensic doctor', 'medical examiners', 'coroner england and wales', 'coroners', 'coroner s inquest', 'office of coroner', 'chief medical examiner', 'coroner s court', 'county coroner', 'coronor', 'coroner']",Incorrect,"[[0.44263651967048645, 0.5573635101318359]]"
In which city can the Graham Sutherland tapestry Christ in Glory be found?," Liverpool Cathedral
","['coventry uk', 'cofantre', 'coventry united kingdom', 'coventry borough', 'coventry city', 'coventry england', 'metropolitan borough of coventry', 'coventry city council', 'coventry', 'county borough of coventry', 'coventry warwickshire', 'city of coventry']",Incorrect,"[[0.7279754281044006, 0.272024542093277]]"
What is the longest river in Asia?," Yangtze
","['yangtsze river', '1954 yangtze river flood', 'yangtse chiang', 'jangsei', 'yangtze kiang', 'yang tse', 'drichu river', 'chang jiang', '揚子江', 'ch ang chiang', 'yángzi jiang', 'yangzi river', 'child of ocean', 'yangtze river china', 'yangzee river', 'yang tze', '1935 yangtze river flood', 'yangtze', 'changjiang river', '长江', 'chang he river', 'yangtse kiang', 'yangtze river', 'yangtsze', 'chang river', 'yangzijiang', 'tributaries of yangtze river', '扬子江', 'yangzi', 'yangtse', 'yang tsze kiang', 'golden waterway', 'yangzi subdistrict', 'yangtze river valley', 'yang tse kiang', 'yangtze river basin', 'yangtze valley', 'cháng jiang', 'chang chiang', 'yangtse river', 'ngtze', 'yangtsze kiang', 'bri chu river', 'yanzijiang river', 'history of yangtze river', '長江', 'river yangtze', 'yangzi jiang', 'chang jiang river', '1911 yangtze river flood', 'yangzih river', 'yangtze basin', 'yangtze platform']",Correct,"[[0.791176438331604, 0.208823561668396]]"
What was the original title of the book on which the film Schindler's List was based?,"1939
","['schindler s arc', 'schindler s ark', 'shindler s arc', 'schindlers ark', 'shindler s ark']",Incorrect,"[[0.10594828426837921, 0.8940516710281372]]"
According to the traditional nursery rhyme when did the Knave of Hearts steal the tarts?,"4th of July
",['on summer s day'],Incorrect,"[[0.06394842267036438, 0.936051607131958]]"
Which singer had the first names Harry Lillis?," Bing Crosby
","['bing crosby actor', 'harry l crosby', 'bing crosby productions', 'harry lillis crosby jr', 'crosby bing', 'bing cosby', 'harry lillis crosby', 'harry crosby jr', 'bing crosby enterprises', 'bing crosby', 'harry lillis 22bing 22 crosby', 'harry lillis bing crosby', 'harry l crosby jr']",Correct,"[[0.8895288109779358, 0.11047115176916122]]"
"What is the name of the style of roasting meat, whereby it is skewered on a spit and slowly rotated over a flame?"," Rotisserie
","['spit cooking aide', 'mechanical spit', 'spitroast', 'broiling spit', 'spit roast', 'meat cone', 'rotisserie', 'rotiserie']",Correct,"[[0.8062431216239929, 0.1937568634748459]]"
