question,answer,normalized_aliases,accurate_judgement,logits
In which Canadian province is the city of Niagara Falls?," Ontario
","['ontario canada', 'canada ontario', 'on canada', 'ontairo', 'ontario', 'ontarian', 'province of ontario', 'ca on', 'climate of ontario']",Correct,"[[0.957912266254425, 0.04208773002028465]]"
"March 31, 1917 saw the US purchase what is now known as the US Virgin Islands from what European country?"," Denmark
","['dinamarca', 'denmarc', 'danimarca', 'mainland denmark', 'denmarke', 'kingdom of denmark', 'danemark', 'danmoerk', 'denmark', 'danska', 'danmork', 'denemarke', 'media of denmark', 'iso 3166 1 dk', 'danish kingdom', 'daenemark', 'kingdomofdenmark', 'administrative divisions of denmark', 'dänemark', 'subdivisions of denmark', 'kongeriget danmark', 'danmörk', 'eastern denmark', 'denmark proper', 'media in denmark']",Correct,"[[0.8365545868873596, 0.16344545781612396]]"
Orange Pekoe is a variety of what beverage?," Tea
","['gourmet tea', 'cold brewed tea', 'tealeaves', 'tea brewing', 'tea', 'steeped tea', 'peach tea', 'tea plantation', 'instant tea', 'tea mashing', 'tea leaf', 'teamelier', 'tea drink', 'pitewey', 'tea preparation', 'loose tea', 'history of tea in korea', 'lemon tea', 'cup of tea', 'tea stall', 'organic tea', 'alternative tea', 'brewing tea', 'tea leaves', 'indian tea', 'tea leafs', 'tea growing']",Correct,"[[0.9284088015556335, 0.07159119844436646]]"
"Vodka can be made either from grain, or what vegetable?"," Potatoes
","['tattie', 'red potatoes', 'spud', 'potato', 'tatties', 'potatos', 'boiled potato', 'potato farmer', 'patatoes', 'potato skin', 'potatoes', 'purple potato', 'cooking potatoes', 'poetato', 'potato northern', 'potato industry', 'pratie', 'spuds', 'solanum tuberosum tuberosum', 'idaho potato', 'white potato', 'super tuber', 'red potato', 'culture of potato', 'potato irish', 'potato farm', 'alu tuber', 'german butterball', 'poetatoe', 'boiled potatos', 'history of potatoes', 'pomme terre', 'solanum tuberosum', 'kerris pink', 'new potatoes', 'potater', 'blue potato', 'pottato', 'potatoe', 'pateeto', 'tatey', 'potato farmers', 'boiled potatoes', 'roast potato', 'maris peer', 'white potatoes', 'new potato', 'irish potato']",Correct,"[[0.6279512047767639, 0.3720487952232361]]"
Who commanded the German forces at the Battle of Stalingrad," Friedrich Paulus
","['field marshall paulus', 'generalfeldmarschall paulus', 'generalfeldmarschal friedrich paulus', 'generalfeldmarschal friedrich wilhelm ernst paulus', 'field marshal friedrich wilhelm ernst paulus', 'generalfeldmarschall friedrich wilhelm ernst paulus', 'general paulus', 'fredrich von paulus', 'friedrich paulus', 'von paulus', 'generalfeldmarschall friedrich paulus', 'generalfeldmarschal paulus', 'general friedrich paulus', 'field marshal friedrich paulus', 'friedrich von paulus', 'friedrich wilhelm ernst paulus', 'field marshal paulus', 'general friedrich wilhelm ernst paulus']",Correct,"[[0.8679338097572327, 0.13206616044044495]]"
In the American sitcom Cheers what was the name of Norm's wife?," Vera
","['vera disambiguation', 'vera']",Correct,"[[0.4073334336280823, 0.5926666259765625]]"
Which eponymous classical heroine goes to Lowood School?," Jane Eyre
","['edward rochester', 'st john rivers', 'edward fairfax rochester', 'jane eire', 'mr brocklehurst', 'jane eyre', 'list of artistic depictions of and related to jane eyre', 'saint john rivers', 'mr edward rochester', 'reader i married him', 'st john eyre rivers', 'henry brocklehurst', 'mr edward fairfax rochester', 'jane eyre novel', 'jane eyre autobiography', 'mr rochester', 'جين أير', 'adele varens', 'blanche ingram']",Correct,"[[0.9575962424278259, 0.04240383207798004]]"
Russian dessert ‘Pashka’ is traditionally eaten during which religious holiday?," Easter
","['easter dates', 'easter date 2010', 'easter date 2011', 'easter date 2009', 'sunday of pascha', 'pâques', 'påske', 'feast of resurrection', 'resurrection sunday', 'easter 2006', 'easter 2010', '60id ul fish', 'orthodox easter', 'easter liturgy', 'easter 2011', '60id ul qiyama', 'velikden', 'easter', 'easter 2009', 'easter day', 'veligden', 'easter sunday', 'eastre', 'easter myths', 'alisos anesti']",Correct,"[[0.8210441470146179, 0.17895589768886566]]"
The name  of which Suzuki motorbike model is Japanese for peregrine falcon?," GSX-R
","['hayabusa mission', 'hayabusa mark 2', 'muses c', 'micro nano experimental robot vehicle for asteroid', 'minerva spacecraft', 'hayabusa', 'mu space engineering spacecraft c', 'hayabusa spacecraft']",Incorrect,"[[0.6297746300697327, 0.3702253997325897]]"
The historic Charles Bridge that crosses the Vlatava river connects which city's castle to its old town?," Prague
","['prague czech republic', 'praha czech republic', 'prague', 'un locode czprg', 'prague czechia', 'wards of prague', 'prahou', 'capital city of czech republic', 'praque', 'praha', 'prague czechoslovakia', 'prague bohemia', 'nuts praha', 'europe prague', 'prague bohemia czech republic', 'greater prague', 'historic centre of prague', 'prahy', 'capital of czech republic', 'prauge', 'prague tourism', 'city of prague', 'hlavní město praha', 'czprg', 'nuts prague']",Correct,"[[0.9569571614265442, 0.043042849749326706]]"
Saint Pega is said to be England's first female?," Nun
","['hermitess', 'solitarian', 'hermits', 'hermit', 'eremetic', 'anachorite', 'eremitical', 'eremitic', 'hermet', 'eremites', 'eremite', 'eremitism']",Incorrect,"[[0.7025300860404968, 0.29746994376182556]]"
What two words were added to the US Pledge of Allegiance in 1954?," Under God
","['pledge of allegiance to flag', 'under god', 'we pledge allegiance to flag', 'one nation under god', 'pledge of allegience', 'pledge allegiance', 'united states pledge of allegiance', 'pledge of allegiance to american flag', 'pledge of allegiances', 'i pledge allegiance to flag of united states of america and to republic for which it stands one nation under god indivisible with liberty and justice for all', 'pledge of allegiance', 'i pledge allegiance to flag of united states of america and to republic for which it stands one nation indivisible with liberty and justice for all', 'us pledge', 'liberty and justice for all', 'richard stands', 'pledge of allegiance to flag of united states of america', 'pledge of allegiance to flag of united states', 'i pledge allegiance to flag of united states of america', 'pledge of alleigance', 'u s pledge of allegiance']",Correct,"[[0.8255897164344788, 0.17441026866436005]]"
Of which Canadian province is Halifax the capital?," Nova Scotia
","['14th british colony', 'nova scocia', 'province of nova scotia', 'nova scosia', 'nova scotia canada', 'alba nuadh', 'nova scotia', 'ca ns', 'novia scotia', 'colonial nova scotia', 'scottish america', 'nouvelle écosse', 'nova scotian', 'nova scosha', 'hart island nova scotia', 'scotian', 'noav scotia', 'nueva escocia', 'colony of nova scotia', 'scotians', 'nouvelle ecosse']",Correct,"[[0.9489172697067261, 0.05108273774385452]]"
What nationality was the composer Jean Sibelius?," Finnish
",['finnish'],Correct,"[[0.9066531658172607, 0.09334687888622284]]"
"Rugby union - for which club team do England internationals Stevens, Farrell and Vunipola play ?"," Saracens
","['sarracens', 'saracen', 'sarcens', 'saracen attacks', 'saracenic', 'saracens']",Correct,"[[0.7648916244506836, 0.2351083904504776]]"
"Which Disney film includes the characters Bubbles,Crush and Mr Ray?"," Finding Nemo
","['just keep swimming', 'finding nemo film', 'finding nemo', 'bruce shark', 'list of finding nemo characters', 'dory finding nemo', 'mount wannahockaloogie', 'nemo finding nemo', 'finding nemo characters', 'bruce shark finding nemo', 'finding nemo 3d', 'finding nemo – musical', 'marlin finding nemo', 'finding nemo musical', 'finding nemo soundtrack', 'finding nemo escape to big blue']",Correct,"[[0.8080672025680542, 0.1919327825307846]]"
"""In 2008, who was nicknamed """"The King of Clay""""?"""," Rafael Nadal
","['fundación rafa nadal', 'rafael nadal foundation', 'nadal', 'rafael 22rafa 22 nadal parera', 'fundacion rafa nadal', 'raphael nadal', 'rafa nadal', 'rafael nadal', 'rafa nadal foundation', 'r nadal', 'rafael nadal parera', 'king of clay']",Correct,"[[0.9329437017440796, 0.06705628335475922]]"
Irish is one of the official languages of the Republic of Ireland. What is the other?," English
","['english disambiguation', 'inglisj', 'engish', 'englis', 'english', 'englilsh', 'englissh', 'egnlish', 'enlish']",Correct,"[[0.9178933501243591, 0.08210662752389908]]"
Who sang the theme for the Jams Bond film ‘Octopussy’?," Rita Coolidge
",['rita coolidge'],Correct,"[[0.4397473633289337, 0.5602526664733887]]"
"What is the name of the major Greek stadium in Athens that was the venue for the opening and closing ceremonies, athletics events and the football (soccer) final at the 2004 Summer Olympics?"," Olympic Stadium
","['olympic stadiums', 'olympic stadium', 'olympish stadion']",Correct,"[[0.8816148638725281, 0.11838509142398834]]"
"What is the palace and fortress complex of the Moorish rulers of Granada in southern Spain constructed during the mid 14th century that occupies a hilly terrace on the southeastern border of the city of Granada, Spain?"," Alhambra
","['al hambra', 'alhambra of granada', 'alhambra', 'allhambra', 'red fortress', 'al ħamrā', 'calat alhambra', 'alhambra palace', 'qal at al hambra', 'الحمراء']",Correct,"[[0.9702399373054504, 0.029760094359517097]]"
"""What kind of quality is """"priapic""""?"""," Erotic
","['lecherousness', 'lecheries', 'lechers', 'sexual desires', 'leched', 'letchery', 'lecherously', 'luxuria vice', 'leching', 'lustful', 'lust']",Incorrect,"[[0.7772998809814453, 0.22270014882087708]]"
Who founded the Theatre Union in 1936 and the Theatre Workshop in 1945 (both in Manchester)?," Joan Littlewood
","['joan littlewood', 'maudie joan littlewood']",Correct,"[[0.9202179908752441, 0.07978201657533646]]"
"Which national park, famous for aboriginal rock paintings, is near Darwin?"," Kakadu
","['kakadu national park', 'kakadu national park stage 2', 'kakadu national park stage 1']",Incorrect,"[[0.9149009585380554, 0.08509904891252518]]"
Who won best actor at the 80th Academy Awards of 2008?," Daniel Day-Lewis
","['daniel day louis', 'daniel day lewis', 'sir daniel day lewis', 'daniel day luas', 'day lewis daniel', 'daniel michael blake day lewis']",Incorrect,"[[0.7563575506210327, 0.2436424344778061]]"
What name is given to a word formed from the initial letters of a series of words e.g. AIDS?," Acronym
","['empty acronym', 'acroynm', 'three letter combination', 'two letter acronym', 'acronim', 'three letter abbreviations tlas', '3cc', 'acronem', 'pseudo initialism', 'anacronym', 'macronym', 'orphan initialism', 'list of tlas', 'acronyms initialisms and alphabetisms', 'acronymization', 'intialism', 'anti acronym', 'akronym', 'contrived acronym', 'tla e', 'threeletter', 'list of all three letter acronyms', 'two letter acronyms', 'ackronym', 'alphabetism', 'pseudo acronym', 'fasgrolia', '3 letter combination', 'acronisms', 'three letter acronyms', 'acronymy', 'acronyms and initialisms', 'orphaned initialism', 'acronism', 'pseudoacronym', 'initialism', 'acronymic', 'initialism and acronym', 'orphan acronym', 'acronym and initialism', 'initialisms', 'three letter abbreviations', 'initialism and acronyms', '3 letter abbreviation', 'acronyms', 'acronym', 'acronym plurals', 'acronymous', 'acronise', 'alphabeticism']",Correct,"[[0.863391637802124, 0.13660839200019836]]"
"What is the traditional name for the disease Oedema, a swelling of any organ or tissue due to the accumulation of excess lymph fluid?"," Dropsy
","['pedal edema', 'pitting edema', 'laryngeal edema', 'dropsically', 'oedemas', 'edemas', 'edemia', 'dropsy', 'dropsical', 'oedema due to heart failure', 'edema', 'oedematous', 'hydropic', 'fat hand syndrome', 'oedema', 'localized oedema', 'œdemas', 'hydropsy', 'œdema', 'oedema due to hypoproteinaemia', 'edematous', 'odemas']",Correct,"[[0.46101677417755127, 0.5389832258224487]]"
"What country invaded the Falkland Islands on Friday, April 2, 1982, and probably regretted it after Iron Maggie kicked their asses and took the Islands back?"," Argentina
","['arxentina', 'argentina information', 'argentinie', 'nacion argentina', 'argentyna', 'people of argintina', 'argjentina', 'republica argentina', 'antonia merce y luque', 'argentína', 'arc hantina', 'ariannin', 'argies', 'argentinean', 'airgintín', 'argentīna', 'iso 3166 1 ar', 'arjantin', 'república argentina', 'argentinien', 'արգենտինա', 'airgintin', 'nación argentina', 'argentinia', 'argentina', 'arxintina', 'アルゼンチン', 'republic of argentina', 'argentina republic', 'אַרגענטינע', 'argintina', 'अर्जेन्टीना', 'argentine republic', 'argentiina', 'آرژانتین', 'аргентына', 'arghantina', 'argie', 'аржентина', 'argentinië', 'ארגנטינה', 'الأرجنتين', 'land of silver']",Correct,"[[0.8895288109779358, 0.11047115176916122]]"
Which UK television game show is the setting for the novel ‘Starter For 10’ by David Nicholls?," University Challenge
","['elementary challenge', 'university challenge professionals', 'university challenge']",Correct,"[[0.8031737804412842, 0.19682618975639343]]"
"Ellen Johnson Sirleaf was elected president in 2005 of which war-torn African country, bordered by Sierra Leone, Guinea, and Côte d'Ivoire?"," Liberia
","['liberia west africa', 'republic of liberia', 'sport in liberia', 'liberian republic', 'health care in liberia', 'liberia', 'libéria', 'subdivisions of liberia', 'name of liberia', 'iso 3166 1 lr']",Correct,"[[0.9492946267127991, 0.05070536211133003]]"
Gules is which colour in heraldry?," Red
","['red colour', 'incarnadined', 'reddened', 'aztec red', '255 0 0', 'color red', 'incarnadines', 'reddeners', 'reddens', 'raudur', 'firebrick red', 'incarnadine', 'redest', 'reddener', 'rauður', 'red political adjective', 'redly', 'reddishness', 'redness', 'red', 'reddest', 'red color', 'red movement', 'ff0000', 'redishness', 'rgb 255 0 0', 'reddishly', 'list of terms associated with color red', 'incarnadining', 'redishly']",Correct,"[[0.9178933501243591, 0.08210662752389908]]"
Croissants are usually associated with France. But which country are they from originally?," Turkey
","['republik osterreich', 'republik oesterreich', 'austria', 'austurriki', 'administrative divisions of austria', 'austrian architecture', 'alpine deutschen', 'eastreach', 'oostenrijk', 'austurríki', 'architecture of austria', 'avstria', 'etymology of austria', 'österreich', 'osterreich', 'republik österreich', 'oesterreich', 'easterrealm', 'republic of austria', 'austrian republic', 'österrike', 'iso 3166 1 at', 'ostria', 'autriche']",Incorrect,"[[0.6926419734954834, 0.3073580265045166]]"
Which alcoholic drink is often referred to in historical literature as ‘The Green Fairy’?," Absinthe
","['abstinthe', 'abasinthe', 'absinthe', 'absenthe', 'absinthisme', 'apsenth', 'apsinth', 'green fairy', 'absinth', 'la fee verte', 'absinthism', 'absenta']",Correct,"[[0.8509647250175476, 0.1490352898836136]]"
What was the name of the Cyclops blinded by Odysseus?," Polyphemus
","['polyphemos', 'polyphemo', 'polyphemon', 'polyphemus']",Correct,"[[0.9213575720787048, 0.07864237576723099]]"
Which country does the airline Ladeco come from?," Chile
","['cxilio', 'etymology of chile', 'republic of chile', 'chilean republic', 'chile', 'name of chile', 'chilé', 'iso 3166 1 cl', 'república de chile', 'state of chile', 'cile']",Correct,"[[0.7074047327041626, 0.2925952970981598]]"
Which group had a UK hit in August 1966 with the song 'With A Girl Like You'?,"1910 Fruitgum Company
","['give it to me troggs song', 'troggs', 'cellophane troggs album', 'listen to man troggs song', 'mixed bag troggs album', 'trogs']",Incorrect,"[[0.0960254892706871, 0.9039745330810547]]"
What was Van Gogh's first name?," Vincent
","['vincent given name', 'vincent', 'vincentius', 'vincent name']",Correct,"[[0.956308901309967, 0.043691061437129974]]"
Which US President was born William Jefferson Blythe III?,"42nd - Bill Clinton
","['william jefferson blythe iv', 'william clinton', 'clinton bill', 'william jefferson blythe iii', 'bill blythe iv', 'willam jefferson blythe iii', 'president clinton', 'billll clinton', 'clintonesque', 'william blythe iii', 'billl clinton', 'bubba clinton', 'bill clinton 5c', 'bull clinton', 'virginia clinton', 'bill jefferson clinton', 'william 22bill 22 clinton', '42nd president of united states', 'bill j clinton', 'us president bill clinton', 'clinton gore administration', 'virginia clinton kelly', 'billclinton', 'billy clinton', 'bill klinton', 'buddy clinton s dog', 'bill clinton', 'williamjeffersonclinton', 'william j blythe', 'mtv president', 'william jefferson bill clinton', 'klin ton', 'william j clinton', 'bill clinton s post presidency', 'william jefferson 22bill 22 clinton', 'willy clinton', 'bil clinton', 'virginia cassidy blythe', 'william j blythe iii', 'president bill clinton', 'virginia kelly', 'bill clinton s sex scandals', 'william jefferson clinton']",Incorrect,"[[0.1561049073934555, 0.8438951373100281]]"
Ergophobia is an inordinate fear of what?," Work
","['work', 'worked', 'work disambiguation', 'wrk', 'work song', 'do work']",Correct,"[[0.7813306450843811, 0.21866938471794128]]"
"""The Jake Gaudaur Veterans' Trophy, presented annually to the Canadian Football League player """"who best demonstrates the attributes of Canada's veterans in times of war, peace and military conflict"""", was first awarded in 2010 to Mike McCullough who played for which team?"""," Hamilton Tiger-Cats
","['western riders', 'green riders', 'regina rugby club', 'regina roughriders', 'saskatchewan roughriders', 'saskatchewan rough riders']",Incorrect,"[[0.5563995838165283, 0.4436004161834717]]"
What TV show featured characters named Tinky-Winky and Laa-Laa?," Teletubbies
","['teletubbies', 'tubbies', 'laa laa', 'tubby toast', 'tubbytronic superdome', 'tellytubby', 'po tv character', 'laalaa', 'teletubbiegate', 'tele tubbies', 'real teletubbies', 'teletubbies characters', 'teletubby', 'tellitubies', 'telly tubbies', 'teletubbie', 'tinky winky', 'tellitubbies', 'tubb tubb', 'po teletubbies', 'tubby custard', 'dipsy', 'teletubbies trivia', 'noo noo', 'po teletubby', 'tinky winky dipsy laa laa and po', 'tellytubbies', 'teletubies', 'eh oh']",Correct,"[[0.8856314420700073, 0.11436852067708969]]"
"Which children's cartoon series featured characters called Lion-O, Cheetara, Panthro and Tygra?"," ThunderCats
","['thundercats outtakes', 'thundercats 1985 tv series', 'slithe', 'thunder cat', 'thundrilliam', 'thundercats', 'jackalman', 'monkian', 'thunder cats', 'thuder cat']",Correct,"[[0.8832359910011292, 0.11676400899887085]]"
"April 3, 1882 saw Robert Ford shoot what Wild West legend in the back of the head as he stood to clean a picture hanging on the wall?"," Jesse James
","['jesse james outlaw', 'jesse james', 'mr howard', 'jesse w james', 'jesse james northfield raid', 'jesse woodson james']",Correct,"[[0.854884684085846, 0.14511536061763763]]"
What is England's tallest building,"1 Canada Square
","['shard london bridge', 'london bridge tower', 'shard london bridge tower', 'shard skyscraper', 'shard', 'london shard', '32 london bridge', 'shard of glass', 'shangri la london', 'shard london']",Incorrect,"[[0.10894505679607391, 0.8910549879074097]]"
Which English novelist is probably best remembered for his 1957 novel Room At the Top?," John Braine
","['john braine', 'john gerard braine']",Correct,"[[0.6442250609397888, 0.3557748794555664]]"
On which Pacific island did Captain James Cook see the Transit of Venus in 1769?," Tahiti
","['history of tahiti', 'tahitian politics', 'otaheite', 'kahiki', 'culture of tahiti', 'demographics of tahiti', 'politics of tahiti', 'otaheiti', 'pacific tahiti', 'tahiti', 'tahiti french polynesia', 'tahitian political parties', 'taiti']",Correct,"[[0.863391637802124, 0.13660839200019836]]"
"What is the popular name for Sirius, which is 9 light years from Earth?"," Dog Star
","['dog star', 'dog star disambiguation', 'dogstar']",Correct,"[[0.7201715111732483, 0.2798284888267517]]"
According to a study of international Wikipedia articles who did Massachusetts Institute of Technology judge the most famous person of all time (at 2014)?," Jesus
","['aristotelis', 'aristotele', 'aristotelean philosophy', 'aristotles', 'αριστοτέλης', 'mraristotle', 'aristotelo', 'aristotle of stagira', 'arystoteles', 'aristoteles', 'aristutalis', 'artisole', 'stagirite', 'artistotle', 'aristotel', 'philosophy of aristotle', 'aristotles theories', 'aristole', 'aristotole', 'aristotle s', 'stagyrite', 'aristotle', 'it is mark of']",Incorrect,"[[0.07423136383295059, 0.9257686138153076]]"
How old must you be to vote in a British parliamentary election?,"18
","['eighteen', '18']",Correct,"[[0.9184802770614624, 0.08151975274085999]]"
What is the longest running show on MTV?,"120 Minutes
","['real world maui', 'real world tv series', 'real world', 'real world pittsburgh', 'real world mtv']",Incorrect,"[[0.1766715943813324, 0.8233283758163452]]"
The establishment of which law officers dates from 1194?," Sheriffs
","['coronial inquiry', 'forensic doctor', 'medical examiners', 'coroner england and wales', 'coroners', 'coroner s inquest', 'office of coroner', 'chief medical examiner', 'coroner s court', 'county coroner', 'coronor', 'coroner']",Incorrect,"[[0.5736784338951111, 0.4263215959072113]]"
In which city can the Graham Sutherland tapestry Christ in Glory be found?," Liverpool Cathedral
","['coventry uk', 'cofantre', 'coventry united kingdom', 'coventry borough', 'coventry city', 'coventry england', 'metropolitan borough of coventry', 'coventry city council', 'coventry', 'county borough of coventry', 'coventry warwickshire', 'city of coventry']",Incorrect,"[[0.7154240012168884, 0.2845759987831116]]"
What is the longest river in Asia?," Yangtze
","['yangtsze river', '1954 yangtze river flood', 'yangtse chiang', 'jangsei', 'yangtze kiang', 'yang tse', 'drichu river', 'chang jiang', '揚子江', 'ch ang chiang', 'yángzi jiang', 'yangzi river', 'child of ocean', 'yangtze river china', 'yangzee river', 'yang tze', '1935 yangtze river flood', 'yangtze', 'changjiang river', '长江', 'chang he river', 'yangtse kiang', 'yangtze river', 'yangtsze', 'chang river', 'yangzijiang', 'tributaries of yangtze river', '扬子江', 'yangzi', 'yangtse', 'yang tsze kiang', 'golden waterway', 'yangzi subdistrict', 'yangtze river valley', 'yang tse kiang', 'yangtze river basin', 'yangtze valley', 'cháng jiang', 'chang chiang', 'yangtse river', 'ngtze', 'yangtsze kiang', 'bri chu river', 'yanzijiang river', 'history of yangtze river', '長江', 'river yangtze', 'yangzi jiang', 'chang jiang river', '1911 yangtze river flood', 'yangzih river', 'yangtze basin', 'yangtze platform']",Correct,"[[0.9039745330810547, 0.0960254892706871]]"
What was the original title of the book on which the film Schindler's List was based?,"1939
","['schindler s arc', 'schindler s ark', 'shindler s arc', 'schindlers ark', 'shindler s ark']",Incorrect,"[[0.06233103945851326, 0.9376689791679382]]"
According to the traditional nursery rhyme when did the Knave of Hearts steal the tarts?,"4th of July
",['on summer s day'],Incorrect,"[[0.03993731737136841, 0.9600626826286316]]"
Which singer had the first names Harry Lillis?," Bing Crosby
","['bing crosby actor', 'harry l crosby', 'bing crosby productions', 'harry lillis crosby jr', 'crosby bing', 'bing cosby', 'harry lillis crosby', 'harry crosby jr', 'bing crosby enterprises', 'bing crosby', 'harry lillis 22bing 22 crosby', 'harry lillis bing crosby', 'harry l crosby jr']",Correct,"[[0.9149009585380554, 0.08509904891252518]]"
"What is the name of the style of roasting meat, whereby it is skewered on a spit and slowly rotated over a flame?"," Rotisserie
","['spit cooking aide', 'mechanical spit', 'spitroast', 'broiling spit', 'spit roast', 'meat cone', 'rotisserie', 'rotiserie']",Correct,"[[0.9246877431869507, 0.0753123089671135]]"
