question,answer,logits,normalized_aliases
"Which river rises in the Massif Centrale, flows north and east to enter the Bay of Biscay at St. Nazaire?"," Loire
","[[0.42250463366508484, 0.5774953365325928]]","['départment of loire', 'loire', 'la loire', 'loire river', 'loire river france', 'luara', 'loira', 'montbrisn', 'longest river in france', 'river loire', 'montbrisn loire']"
Which clothing fabric is named after a town in southern France?,"100% Silk
","[[0.2393493503332138, 0.7606506943702698]]","['selvedge denim', 'dry denim', 'jean fabric', 'jean jacket', 'jeans jackets', 'raw denim', 'serge de nimes', 'distressed denim', 'jeans jacket', 'denim', 'hickory cloth', 'denim jackets', 'selvage denim', 'denim jacket']"
Thermodynamics is the study of what?,"3 things
","[[0.4378235340118408, 0.562176525592804]]","['heat change', 'sources of heat', 'heat as energy', 'heat thermodynamics', 'thermal enegy', 'heat', 'heat as transfer of energy', 'heat energy', 'warmth']"
What is the scientific name for the tube connecting the mouth with the stomach?," Oesophagus
","[[0.46490156650543213, 0.5350984334945679]]","['esophageal sphincter disambiguation', 'eosophagus', 'lower oesophageal sphincter', 'food pipe', 'oesophagus', 'esophageal sphincter', 'upper oesophageal sphincter', 'mucosal layer of esophagus', 'asophogus', 'gastroesophageal sphincter', 'weazen', 'foodpipe', 'oesophageal', 'esophagous', 'cytopharynx', 'weasand', 'esophageal sphincters', 'esophageal sphincter upper', 'gastro oesophageal junction', 'esophageal diseases', 'œsophagus', 'oesophageal sphincter', 'esophagus', 'upper esophageal sphincter', 'gullet', 'esophageal disorder', 'pharyngoesophageal sphincter']"
What name is given to the external set of floral leaves or sepals in a flower?,"1st
","[[0.24508501589298248, 0.7549149990081787]]","['calyx', 'calyx disambiguation', 'calyces', 'calyce']"
Which Irish author was Sir Henry Irving's business manager?," Oscar Wilde
","[[0.4378235340118408, 0.562176525592804]]","['abraham 22bram 22 stoker', 'biography abraham stoker', 'stoker bram', 'abraham stoker', 'bram stoker']"
"At a French McDonald's, what would they call a quarter pounder with cheese?","1/4 de livre
","[[0.4455295503139496, 0.5544704794883728]]","['royal with cheese', 'royale with cheese', 'quarterpounder', 'royal cheese', 'quarter pounder with cheese', 'quarter pounder']"
The metric prefix femto is shown as ten to the power of minus what?,"15
","[[0.4765796959400177, 0.5234203934669495]]","['fifteen', '15']"
Petrography is the study of what?," Rocks
","[[0.46101677417755127, 0.5389832258224487]]","['rock geology', 'rocks and minerals', 'three types of rocks', 'rock type', 'stone', 'rocks', 'rock medium', 'rock types', 'stones']"
Roger Moore first played James Bond in which film?,"70s
","[[0.3073580265045166, 0.6926419734954834]]","['live and let die', 'lald', 'live let die', 'live and let die disambiguation']"
A two-wheeled self-powered and self-balancing vehilce unveiled in 2001 is called what?,"2-wheeled Segway
","[[0.43014734983444214, 0.5698526501655579]]","['segway scooter', 'segway', 'segways', 'segway in popular culture', 'segway ht', 'segway pt', 'segwey', 'segway personal transporter', 'segway human transporter', 'segwey pt', 'segweys', 'segwey ht']"
"""""""Hale knew before he had been in Brighton three hours that they meant to murder him..."""" are the opening words to which Graham Greene novel?""","39 Steps
","[[0.3557748794555664, 0.6442250609397888]]","['brighton rock disambiguation', 'brighton rock film', 'brighton rock']"
Petite Borgeoisie is an Anglicized French term referring to what traditional notion of social demographics class?,"3rd
","[[0.25683197379112244, 0.7431679368019104]]","['lower middle class', 'lower middle classes']"
"The city of London in Ontario, Canada stands on which river?"," Thames
","[[0.5851011276245117, 0.4148988425731659]]","['temz river', 'river thames', 'themsen', 'old father thames', 'thames river', 'isis river england', 'thames', 'thames basin', 'tamigi', 'tamisa', 'tamiza', 'river temz', 'thames river england', 'temza', 'history of thames water', 'theems', 'themse', 'temze', 'tems river', 'thames crossing', 'tamesa', 'river tems']"
Munich is on which river?," Isar
","[[0.6297746300697327, 0.3702253997325897]]","['isar valley', 'river isar', 'mittel isar', 'isar', 'isar river']"
"According to the Gospels of Matthew, Mark and Luke, who was compelled by the Romans to carry the cross of Jesus as he was taken to his crucifixion?"," Simon of Cyrene
","[[0.43014734983444214, 0.5698526501655579]]","['simon cyrene', 'simon of cyrene']"
Which (liquid) foodstuff has the chemical formula CH3COOH?," Vinegar
","[[0.6039317846298218, 0.39606812596321106]]","['fruit vinegar', '🜊', 'vineger', 'sukang iloko', 'vingar', 'spirit vinegar', 'cane vinegar', 'vinager', 'beer vinegar', 'thieves vinegar', 'aceto', 'vineager', 'chili vinegar', 'malt vinegar', 'wine vinegar', 'persimmon vinegar', 'vinegar', 'honey vinegar', 'white vinegar', '🜌', 'red wine vinegar', 'sour wine', '🜋', 'vinegars', 'alegar', 'coconut vinegar']"
Who wrote the novel Evening Class?," Maeve Binchy
","[[0.6548947095870972, 0.34510529041290283]]",['maeve binchy']
"""What is the first line of the speech by the 3 witches in Shakespeare's Macbeth that ends """"toil and trouble, fire burn and cauldron bubble""""?"""," Fair is foul, and foul is fair.
","[[0.4532618224620819, 0.5467381477355957]]","['double basketball', 'tripledoubles', 'quintuple double', 'five by five basketball', 'doubledoubles', 'doubledouble', 'quadruple double', 'triple double', 'triple doubles', 'tripledouble', 'five by five', 'double double double', 'double–double', 'double doubles', 'double double']"
Who was voted Time Magazine person of the century in 1999?,"20th century: Winston Churchill
","[[0.33111974596977234, 0.66888028383255]]","['al einstein', 'alber enstien', 'tribute to einstein', 'albert enstien', 'einstein physicist', 'einstien', 'albert einstin', 'albert enstein', 'alber einstein', 'albert einstein s', 'albert eienstein', 'albert einstein', 'einsetein', 'einstien albert', 'albert einstien', 'einstein', 'einstein albert', 'einsteinian']"
Which US President is depicted on a $50 banknote?,"19th President James A. Garfield
","[[0.2393493503332138, 0.7606506943702698]]","['era of good stealings', 'ulysses s grant first inaugural address', 'ulyssses grant', 'general grant', 'ullysses s grant', 'ulysees s grant', 'ulysses s grant', 'u s grant', 'general ulysses s grant', 'ulyses s grant', 'president ulysses s grant', 'hiram u grant', 'president grant', 'ulysses s grant presidential library', 'ulysses simpson grant', 'ulysses grant', 'useless s grant', 'hiram grant', '18th president of united states', 'ulysess grant', 'hiram ulysses grant', 'unconditional surrender grant', 'us grant', 'ulysess s grant', 'hiram ulysses s grant', 'ulysses s grant second inaugural address', 'ulysses s grant i']"
What is Decompression Sickness commonly called?," Bends
","[[0.47268345952033997, 0.5273165106773376]]","['live l astoria', 'bullet proof i wish i was', 'bends', 'bends pinkpop', 'just for college', 'bones radiohead song', 'sulk song', 'just for college ep', 'black star song', 'live au forum', 'bends album', 'radiohead bends', 'nice dream', 'bends song', 'live à l astoria']"
What sort of creature is a Malamute?," Dog
","[[0.6076632142066956, 0.3923368752002716]]","['dogs', 'dog', 'dogs album', 'dogs song', 'dogs disambiguation', 'dog song', 'dog disambiguation', 'dogs band']"
Which city links Haydn's symphony number 104 and Vaughan Williams' symphony number 2?,"1922
","[[0.24508501589298248, 0.7549149990081787]]","['london uk', 'london united kingdom', 'londra', 'london greater london', 'climate in london', 'metropolis', 'united kingdom london', 'un locode gblon', 'london england united kingdom', 'london great britain', 'london', 'london on thames', 'capital of uk', 'londyn', 'gblon', 'climate of london', 'wongdon', 'london england', 'weather in london', 'londonshire', 'lundunir', 'london england uk', 'england london', 'londonize', 'londonise', 'london area', 'southwest london', 'lundúnir', 'london s', 'londontown', 'llundain', 'london u k', 'lodnon', 'capital of england', 'london weather', 'capital of united kingdom', 'london britain', 'lundein']"
What is the name of the 'theme park' near Ripon in Yorkshire?,"1066
","[[0.2689414322376251, 0.7310585975646973]]","['light water valley', 'lightwater valley']"
"""Who directed the 2005 film """"Munich""""?"""," Steven Spielberg
","[[0.33111974596977234, 0.66888028383255]]","['spielberg', 'stephen allan spielberg', 'theo speilberg', 'spielbergian', 'steven speilberg', 'spealberg', 'steven spielberg', 'stephen speilberg', 'steve spielberg', 'speilberg', 'spielburg', 'steven spielburg', 'steven spilberg', 'steven allan spielberg', 'steven spielberg biography', 'stephen spielberg']"
"In alphabetical order, what is the first US state?","1st - Alabama
","[[0.3849121630191803, 0.6150878667831421]]","['alabmama', 'ala', 'alabama', 'alabaman', 'alabaman people', 'alabahmu', 'politics of alabama', 'yellowhammer state', 'us al', 'transport in alabama', 'alabamian', '22nd state', 'alabama united states', 'twenty second state', 'state of alabama', 'economy of alabama', 'christianity in alabama', 'alabama u s state', 'alabama state', 'alabamians', 'religion in alabama']"
In which year did the world’s first ‘expo’ the Great Exhibition in London take place?,"1851
","[[0.4148988425731659, 0.5851011276245117]]","['1851', 'one thousand eight hundred and fifty one']"
Morbilli is the technical term for which childhood illness?,"5th disease
","[[0.2018132209777832, 0.7981867790222168]]","['first disease', 'giant cell pneumonia', 'measles', 'morbilli', 'measle', 'morbille', 'red measles', 'rubeola', 'measels']"
What endangered bird is the largest bird in North America?," California Condor
","[[0.39981159567832947, 0.6001883149147034]]","['gymnogyps', 'gymnogyps californianus', 'california condors', 'californian condor', 'california condor']"
"According to Edward Lear, who went to sea in a sieve?","3 fish
","[[0.36296921968460083, 0.6370307803153992]]","['edward lear', 'jumblies']"
"""Which composer, born in Pesaro in Italy in 1792, based his opera, """"The Barber of Seville"""" on the trilogy by French playwright, Pierre de Beaumarchais?"""," Gioachino Rossini
","[[0.33111974596977234, 0.66888028383255]]","['rossini', 'g rossini', 'giacomo rossini', 'giachino rossini', 'gioacchino antonio rossini', 'giacchino rossini', 'gioacchino rossini', 'gioachino antonio rossini', 'giovacchino rossini', 'gioacchimo rossini', 'gioachino rossini', 'ballets to music of gioachino rossini']"
What is the correct representation of the burger chain brand?,"5 Guys
","[[0.42250463366508484, 0.5774953365325928]]","['mcdonalds com', 'mchappy day', 'mckinley mac', 'der schotte', 'mcdonald s', 'mcd s', 'mcdonald s restaraunt', 'mcdonalds corporation', 'micky ds', 'mcdonald s hamburgers', 'mddonalds', 'list of assets owned by mcdonald s', 'global impact of mcdonald s', 'salads plus', 'maccas', 'macky d', 'macdonalds', 'criticism of mcdonald s', 'yum chums', 'mcdonalds s', 'mcdonald s drive in', 'micky d s', 'we love to see you smile', 'mcdonald s corp', 'macky d s', 'aboutmcdonalds com', 'mcdonalds', 'mcdonald s restaurant', 'mcd', 'mackey d s', 'macdonald s', 'mcdonalds restaurants', 'mc donalds', 'mcdonalds corp', 'macdoh', 'hankook mcdonald s', 'macca s', 'mickey d s', 'mickey d', 'mcdonald s archive 1', 'criticisms of mcdonald s', 'speedee', 'mac donalds', 'mankdonalds', 'mcdonald s singapore', 'qscv', 'placcy d s', 'mcdankee s', 'mcdonals', 'mcdo', 'mcmichigan com', 'mcdonald s corporation', 'maccy d s', 'mcdonald s restaurants', 'double beef and bacon', 'mc donald s']"
The United Society of Believers in Christ's Second Appearing is also known as what?,"7th Day Adventists
","[[0.25683197379112244, 0.7431679368019104]]","['shaker', 'shaker music', 'joseph meacham', 'sister frances carr', 'united society for believers in christ s second appearing', 'brother arnold hadd', 'arnold hadd', 'shakeress', 'shakers', 'shaking quakers', 'united society of believers in christ', 'sister june carpenter', 'june carpenter', 'united society of believers in christ s second appearing', 'shakerism']"
In the Bible who put Daniel in the lions den?,"4 Kings
","[[0.14033624529838562, 0.859663724899292]]",['king darius']
Which daughter of Agamemnon was sacrificed for a fair wind?," Io
","[[0.22270014882087708, 0.7772998809814453]]","['iphigenia', 'iphagenia', 'iphigeneia', 'iphigenéia']"
Who founded the Amazon website?," Jeff Bezos
","[[0.6893056035041809, 0.3106943964958191]]","['bezos expeditions', 'jeffrey p bezos', 'jeff besos', 'jeffrey preston bezos', 'fuck you money', 'jeff bezos', 'jeffrey preston jorgensen', 'jeffrey bezos', 'nash holdings']"
What is the trademarked name for the distinctive logo used Nike?,"3 stripes
","[[0.36296921968460083, 0.6370307803153992]]","['swoosh logo', 'millennium orbital crescent swish', 'nike tick', 'swooshstika', 'nike logo', 'crescent swish', 'nike swoosh', 'swoosh']"
Which British singer released a 2003 album entitled ‘Life For Rent’?," Dido
","[[0.5506073832511902, 0.4493926465511322]]","['dido', 'dido queen', 'queen of carthage', 'dido of carthage', 'elissar', 'dido queen of carthage']"
How many masts does the vessel known as a Ketch have ?,"2
","[[0.30074557662010193, 0.6992543935775757]]","['two film', 'two', 'numero dos', 'two album', '2 album', '2', '2 disambiguation', '2 ep', 'two disambiguation']"
"In the year 1636 during the Dutch Golden Age, what unlikely item became the fourth leading export after gin, herring and cheese causing a journalist to write a book Extraordinary Popular Delusions and the Madness of Crowds?"," Tulips
","[[0.4532618224620819, 0.5467381477355957]]","['tullip', 'parrot tulip', 'tulipa', 'liriopogon', 'tulips', 'tulipa genus', 'liriactis', 'list of tulip varieties', 'tulip', 'podonix', 'eduardoregelia', 'culture of tulips', 'parrot tulips', '🌷', 'tulip bulb']"
Who suggested that Gordon Brown had transformed from Stalin to Mr Bean?,"1997 Labour Party Conference
","[[0.23370636999607086, 0.7662936449050903]]","['vincent cable', 'vince cable', 'vincent cable mp', 'john vincent cable']"
Robert Louis Stevenson's 1886 classic horror novel about split personality is called what?," Strange Case Of Dr Jekyll And Mr Hyde
","[[0.49218809604644775, 0.5078118443489075]]","['dr jekyll and mr hyde characters', 'dr jeckle', 'doctor jekyll mr hyde', 'strange case of jekyll and mr hyde', 'dr jeckyll and mr hyde', 'jekyll and hyde', 'dr jekyll and mr hyde', 'jekyll hyde', 'danvers carew', 'doctor henry jekyll', 'hyde and jekyll', 'djmh', 'hastie lanyon', 'dr jekyll mr hyde character', 'dr jekyll mr hyde', 'j g utterson', 'dr jekyll', 'doctor jekyll and mister hyde', 'jekyl and hyde', 'strange case of dr jekyll mister hyde', 'strange case of doctor jekyll and mr hyde', 'gabriel john utterson', 'strange case of doctor jekyll mister hyde', 'strange case of doctor jekyll mr hyde', 'mr hyde', 'sir danvers carew', 'strange case of doctor jekyll and mister hyde', 'doctor jekyll', 'mister hyde', 'doctor jekyll and mr hyde', 'jg utterson', 'dr lanyon', 'harry jekyll', 'dr jekyll and mister hyde', 'strange case of dr jeckyll and mr hyde', 'mr hide', 'strange case of dr jekyll and mr hyde', 'mr edward hyde', 'doctor jekyll mister hyde', 'dr jekyll mister hyde', 'strange case of dr jekyll and mister hyde', 'strange case of dr jekyll mr hyde', 'utterson', 'gabriel utterson']"
"On this date in 1927, Charles Lindbergh became the first pilot to fly solo across the Atlantic Ocean. Where did he land?"," Paris
","[[0.5234203934669495, 0.4765796959400177]]","['parís', 'paris europe', 'paris etymology', 'paname', 'cuisine of paris', 'paris', 'departement de paris', 'paříži', 'ville lumière', 'city of love city', 'paris île de france', 'paris ile de france', 'paříž', 'name of paris and its inhabitants', 'parisian person', 'sports in paris', 'paris agglomeration', 'département de paris', 'sport in paris', 'ville lumiere', 'paris banks of seine', 'suburbs of paris', 'france paris', 'rue de menilmontant', 'rue de ménilmontant', 'weather in paris', 'paris france', 'parizi', 'leucetia', 'paree', 'paris île de france france', 'frpar', 'un locode frpar', 'parisien', 'parijs']"
Which bean is the main flavour of the liqueur Tia Maria?," Coffee
","[[0.3923368752002716, 0.6076632142066956]]","['coffee belt', 'green coffee', 'coffee berry', 'coffee berries', 'coffee bean', 'bean belt', 'coffee beans']"
"""Who was the other half of the Bouquet household, played by actor Clive Swift, in the UK TV comedy series """"Keeping Up Appearances""""?""","1990s
","[[0.21733751893043518, 0.7826625108718872]]","['list of dicks', 'richard']"
"Which US boxer, born February 1977, has the nickname ‘Pretty Boy’?"," Floyd Mayweather
","[[0.4532618224620819, 0.5467381477355957]]","['floyd joy sinclair', 'floyd mayweather', 'money team', 'floyd sinclair', 'philthy rich records', 'floyd money mayweather', 'money mayweather', 'floyd mayweather jr', 'floyd mayweather junior']"
How many counters does each player have in a game of backgammon?,"15
","[[0.39981159567832947, 0.6001883149147034]]","['fifteen', '15']"
Maureen Cox was the first wife of which famous musical personality?," Barry Manilow
","[[0.5, 0.5]]","['richard henry parkin starkey jr', 'richard starrkey', 'richie snare', 'richard starkey jr', 'ringo star', '22ringo 22', 'ringo starkey', 'starr ringo', 'richard starkey', 'ringo', 'ringo film', 'ringo starr', 'beatle ringo', 'richard starky']"
How many houses are there in a game of Monopoly?,"22
","[[0.4148988425731659, 0.5851011276245117]]","['32', 'thirty two']"
"""Who appeared in her first film for 15 years, """"Monster In Law"""", in 2005?""","1990s
","[[0.2689414322376251, 0.7310585975646973]]","['ipc films', 'jane fonda', 'jane seymour fonda', 'jayne seymour fonda', 'hanoi jane', 'jane fonda foundation']"
Whose portrait was painted by the fictional artist Basil Hallward?," Oscar Wilde
","[[0.46490156650543213, 0.5350984334945679]]","['picture of dorian gray chapter 2', 'dorian grey', 'picture of dorian gray chapter 17', 'portrait of dorian gray', 'picture of dorian gray chapter 4', 'dorian gray', 'picture of dorian gray chapter 5', 'picture of dorian grey', 'picture of dorian gray chapter 8', 'picture of dorian gray', 'sybil vane', 'picture of dorian gray chapter 12', 'picture of dorian gray chapter 16', 'lord henry', 'picture of dorian gray chapter 18', 'picture of dorian gray chapter 6', 'picture of dorian gray chapter 15', 'picture of dorian gray chapter 20', 'dorion gray', 'picture of dorian gray chapter 13', 'dorion grey', 'picture of dorian gray chapter 14', 'basil hallward', 'picture of dorien grey', 'picture of dorian gray chapter 19', 'picture of dorian gray chapter 1', 'portrait of dorian grey', 'picture of dorian gray chapters', 'picture of dorian gray chapter 10', 'picture of dorian gray chapter 7', 'picture of dorian gray chapter 3', 'picture of dorian gray chapter 9', 'lord henry wotton', 'picture of dorian gray chapter 11']"
The volcano Hekla is on which island?," Iceland
","[[0.4455295503139496, 0.5544704794883728]]","['iceland', 'iso 3166 1 is', 'ice land', 'land of ice and snow', 'icelandic isles', 'ísland', 'mainland iceland', 'icedland', 'island of iceland', 'lýðveldið ísland', 'republic of iceland', 'hyui', 'icealnd', 'ijsland', 'lydveldid island']"
Stink 182 is a tribute band to which band?,"101ers
","[[0.3073580265045166, 0.6926419734954834]]","['blink one eight two', 'list of blink 182 awards', 'fighting gravity', 'b182', 'blink1', 'lemmings going nowhere', 'blink–182', 'blinkumentry', 'ghosts on dancefloor', 'tales from beneath your mom', 'b 182', 'fags in wilderness', 'not for real', 'genesis blink 182 song', 'genesis snake charmer', 'list of awards and nominations received by blink 182', 'blink one eighty two', 'blink 82', 'short bus blink 182 album', 'blink 182', 'blink 172', 'blink182']"
"""Who made the musical sculptures called """"Pythagoras"""", """"Kepler"""" & """"Galileo"""" that were installed between the tracks of Kendall Station in Cambridge, Massachusetts from 1987 to 2007?""","126
","[[0.14033624529838562, 0.859663724899292]]",['paul matisse']
"Which American swing and jazz guitarist's single string technique combined with amplification, while with Benny Goodman's bands between 1939 and 1941, helped bring the guitar out of the rhythm section and into the forefront as a solo instrument?"," Django Reinhardt
","[[0.2751297354698181, 0.7248703241348267]]",['charlie christian']
What name is given to the stellar explosion caused when nuclear fusion within a massive star ceases and it suffers gravitational collapse?,"1987A
","[[0.28140559792518616, 0.7185943722724915]]","['type i supernova', 'supernova explosions', 'exploding stars', 'supernovas', 'type iia supernova', 'typr ib supernova', 'supanovae', 'type iin', 'super nova', 'supernova light curve', 'supernove', 'type i supernovae', 'type iib supernova', 'little bang', 'sne', 'supernovae', 'supernova', 'supernova explosion', 'classical supernova']"
"What was the capital of the Inca Empire from 1438 to 1532 which, at its peak, dominated a territory that included (from north to south) Ecuador, part of Colombia, the northern half of Chile, and the north-west part of Argentina, and (from west to east) from Bolivia to the Amazonian forests and Peru?","1438-1532
","[[0.30074557662010193, 0.6992543935775757]]","['qusqu', 'cuzco diocese of', 'kusku', 'cuzco peru', 'royal audiencia of cusco', 'cusco', 'diocese of cuzco', 'cuzco', 'cusco peru', 'san blas cusco', 'bishopric of cuzco', 'qosqo', 'bishopric of cusco', 'cusco metropolian area']"
Phil Collins played drums with which band?," Genesis
","[[0.5, 0.5]]","['genesis disambiguation', 'genesis album', 'genesis song', 'book of genesis disambiguation', 'génesis', 'genisis', 'genesis film', 'genesis']"
The 'Battle of Trafalgar' took place in which year?,"1805
","[[0.3345894515514374, 0.665410578250885]]","['one thousand eight hundred and five', '1805']"
What is the text of an opera called?," Libretto
","[[0.7122321724891663, 0.28776779770851135]]","['libretist', 'libretto', 'libretti', 'librettist', 'lobretto', 'lobreto', 'librettos']"
What is the name of the target in a game of curling?,"10-end
","[[0.19682618975639343, 0.8031737804412842]]","['house', 'independent house', 'domestic architecture', 'houes', 'house architecture', 'hous', 'houses', 'houseing', 'dwellinghouse', '🏠', 'history of houses']"
Broccoli and Cauliflower are members of which vegetable family?," Brassica
","[[0.5698526501655579, 0.43014734983444214]]","['brassica', 'brassica sinapistrum', 'brassicas']"
"""What does """"domo arigato"""" mean?"""," Thank you very much
","[[0.531209409236908, 0.4687906503677368]]","['thank you very much disambiguation', 'thank you very much']"
"In relation to spiritual diety Pachamama, in 2011 Bolivia announced an new unusual Law of what?","100% vegetarianism
","[[0.4455295503139496, 0.5544704794883728]]","['mother earth song', 'mother earth', 'mother earth disambiguation']"
How many humps would you find on a dromedary camel?,"1
","[[0.3073580265045166, 0.6926419734954834]]","['one company', 'one']"
Which concert pianist became the first President of the Polish Republic in 1919?," Józef Piłsudski
","[[0.4073334336280823, 0.5926666259765625]]","['ignaz jan paderewski', 'ignace paderewski', 'ignaz josef paderevsky', 'ignace jan paderewski', 'ij paderewski', 'ignance jan paderewski', 'ignance paderewski', 'ignaz josef paderewski', 'ignace j paderewski', 'ignacy paderewski', 'paderewski ignace jan', 'ignacy jan paderewsky', 'ignacy jan paderewski', 'ignaz paderewski', 'paderewski']"
"""In which specific TV series is there an Episode entitled """"A Fistful of Data's""""?"""," Star Trek: The Next Generation
","[[0.5544704794883728, 0.4455295503139496]]","['stng', 'star trek star trek tng', 'sttng', 'star trek tng', 'star trek next generation', 'star trek new generation', 'ultritium', 'st tng']"
What is the largest continent on Earth," Asia
","[[0.45713672041893005, 0.5428633093833923]]","['азия', '亞', 'continental asia', 'name of asia', '亜', 'asia major', 'asia continent', '亚', 'asian continent', 'asia']"
"Actor and comedian, and half of a famous double-act, Arthur Stanley Jefferson was better known by which name?","1950s
","[[0.3073580265045166, 0.6926419734954834]]","['arthur jefferson', 'stanley laurel', 'arthur stanley jefferson', 'stan laurel']"
Which great battle between the Greeks and Persians took place in 490BC?,"490 BC
","[[0.2689414322376251, 0.7310585975646973]]","['battle of marathon', 'μάχη τοῦ μαραθῶνος', 'machē tou marathōnos']"
"In 1965, who became the first British driver to win the Indianapolis 500?"," Graham Hill
","[[0.3208213150501251, 0.6791787147521973]]","['jim clark', 'jimmy clark', 'jim 22jimmy 22 clark', 'jim clark racing driver', 'clark jim']"
What is the Paris Stock Exchange called?," Euronext Paris
","[[0.4765796959400177, 0.5234203934669495]]",['la bourse']
Children's author Mrs Darrell Waters was better known under which name?,"1984
","[[0.1919327825307846, 0.8080672025680542]]","['enid mary blyton', 'little lose hen', 'enid bylton', 'mary pollock', 'little lost hen', 'enid blyton s short stories', 'enid blyton', 'blyton enid', 'enid blighton']"
'.uk' is the network identifier for the United Kingdom. Which country uses the identifier '.jp'?," Japan
","[[0.4687906503677368, 0.531209409236908]]","['nihon koku', 'nihon', 'japoa', 'japang', 'japan', '日本國', 'etymology of japan', 'iso 3166 1 jp', 'jpan', 'japan country', 'riben', 'rìběn', '🗾', 'japanese financial sector', 'japian', 'nippon koku', 'state of japan', 'nippon', 'modern–era japan', 'republic of japan', '日本国', 'jpn', 'japao', 'ja pan', '日本']"
"What salty lake is located at 1,388 ft below sea level?"," Great Salt Lake
","[[0.46490156650543213, 0.5350984334945679]]","['lake asphaltites', 'marawa samandar', 'death sea', 'sea of lot', 'sea of arabah', 'sea of zoar', 'sea of arava', 'asphaltic pool', 'dead sea jordan', 'dead sea', 'asphaltic lake', 'sea of dead', 'lake asphaltitis', 'life in dead sea', 'salt sea', 'yām hamélaḥ']"
Which Motown star had a new millennium hit with Not Over Yet,"112
","[[0.29421496391296387, 0.7057850360870361]]","['diane ross', 'diana ross', 'diana ernestine earle ross', 'diana ross musician', 'diana ross singer', 'dianna ross']"
Who is the mother of Aphrodite in Greek mythology?," Dione
","[[0.4882833957672119, 0.5117166042327881]]","['dione disambiguation', 'dione genus', 'dione']"
Which revolutionary leader was born Vladimir Ilyich Ulyanov?," Lenin
","[[0.42250463366508484, 0.5774953365325928]]","['влади́мир ильи́ч улья́нов', 'comrade lenin', 'vladimir ilyich', 'vladimir illich lenin', 'v i lenin', 'влади́мир ильи́ч ле́нин', 'vi lenin', 'vladimir ilich lenin', 'lenin v i', 'vladimir ilyich ulyanov lenin', 'vladimir lenin', 'nicolai lenin', 'ленина', 'vladimir il ich lenin', 'vladimir ulyanov', 'vladimir ilyich ulianov', 'vladmir lenin', 'lenin', 'nikolay lenin', 'vladimir ilich ulyanov', 'владимир ильич ленин', 'v lenin', 'n lenin', 'ле́нин', 'nikolai lenin', 'lennin', 'владимир ленин', 'v i ulyanov', 'vladimir lennon', 'vladimir ilyich ulyanov', 'vladimir ilyich lenin', 'vladimir ilych ulyanov', 'ленин', 'vladimir i lenin']"
"In medicine, which suffix denotes the surgical removal of something, usually from inside the body?","ectomy
","[[0.5389832258224487, 0.46101677417755127]]","['ectomy', 'list of ectomies']"
The UEFA cup is a soccer tournament for teams from which continent?,"2nd
","[[0.4843800961971283, 0.5156199336051941]]","['europa continent', 'european affairs', 'political map of europe', 'northwest eurasia', 'northwestern eurasia', 'capitals in europe', 'nations of europe', 'list of capitals of countries in europe by area', 'list of european capital cities by area', 'europe peninsula', 'evrope', 'old continent', 'europe s', 'name of europe', 'european nations', 'euorpe', 'europe continent', 'europe region', 'list of national capitals of countries in europe by area', 'cold war europe', 'yurup', 'europea', 'definition of europe', 'european peninsula', 'europe', 'list of capitals of european union by area', 'europes']"
"In which year did George Bush succeed Ronald Reagan as US President, the US ratified the Berne convention on copyright, Time Inc and Warner Communications merged to form Time-Warner, and the Exxon Valdez spilled oil in Alaska?","1989
","[[0.36296921968460083, 0.6370307803153992]]","['one thousand nine hundred and eighty nine', '1989']"
"""What famous book begins: """"Chug, chug, chug. Puff, puff, puff""""?""","30,000 Leagues Under The Sea
","[[0.314050555229187, 0.6859495043754578]]","['watty piper', 'little train that could', 'i think i can', 'little engine that could', 'pony engine']"
Who was Minister of Education when the 1944 Education Act was passed?,"1944
","[[0.29421496391296387, 0.7057850360870361]]",['r butler']
Which pop star played Beth in Neighbours between 1991 and 1993?," Kylie Minogue
","[[0.4590761363506317, 0.5409238934516907]]","['nathalie imbruglia', 'natalia imbruglia', 'natalie imbruglia collection', 'natalie imbruglia band', 'imbruglia', 'natalie imbruglia', 'natalie imruglia']"
In 1984 which Bruce Springsteen song was the first to win a Grammy for him? (He has won 20 in all),"18th Street
","[[0.2598256766796112, 0.740174412727356]]","['dancing in dark disambiguation', 'dancing in dark', 'dancing in dark film', 'dancing in dark song']"
Painter and engraver Sir Edwin Henry Landseer was a favourite artist of which British monarch?," Queen Victoria
","[[0.46101677417755127, 0.5389832258224487]]","['victoria queen of great britain', 'alexandrina victoria von wettin née hanover', 'queen victoria i', 'diamond jubilee of queen victoria', 'we are not amused', 'queen victoria i of united kingdom', 'victoria queen of england', 'victoria i of united kingdom', 'victoria of united kingdom', 'victoria of scotland', 'queen victoria of england', 'victoria regina', 'victoria of great britain and ireland', 'alexandrina victoria von wettin', 'victoria of great britain', 'queen victoria s diamond jubilee', 'alexandrina victoria von wettin nee hanover', 'grandmother of europe', 'alexandrina victoria', 'victoria wettin', 'victoria of united kingdom 1819 1901', 'victoria of britain', 'victoria queen', 'queen alexandrina victoria', 'queen victoria of united kingdom', 'william hamilton criminal', 'victoria of uk', 'her britannic majesty queen victoria', 'list of titles and honours of queen victoria', 'victoria queen of united kingdom', 'victoria of india', 'victoria i', 'queen victoria', 'wedding of queen victoria and prince albert of saxe coburg and gotha', 'victoria of england', 'queen victoria died 1901']"
