question,answer,logits,normalized_aliases
"Voiced by Phil Hartman, before his untimely death, Lionel Hutz is the hapless lawyer on what TV series?","3rd Rock From The Sun
","[[0.24508501589298248, 0.7549149990081787]]","['flanders tv show', 'good vs evil simpsons tv ad', 'simpsons com', 'simpsons tv series', 'list of advertisements featuring simpsons characters', 'simpsons jokes', 'culturally significant words and phrases from simpsons', 'beach simpsons tv ad', 'list of made up words in simpsons', 'jokes on simpsons', 'simpsons', 'thesimpsons', 'recurring jokes in simpsons', 'itchy scratchy s 22500 easy pieces 22', 'simsons', 'dog biscuit', 'los simpsons', 'simpsons impact on television', 'reccuring jokes on simpsons', '500 easy pieces', 'made up words on simpsons', 'simpson s', 'criticism of simpsons', 'simpsons board games', 'no teasing', 'tv simpsons', 'to z simpsons tv ad', 'bart s karate lesson', 'running gags in simpsons', 'simpsons baseball', 'list of simpsons television advertisements', 'culturally significance phrases from simpsons', 'simpson stamps', 'why you little', 'recurring jokes on simpsons', 'simpsons catch phrases', 'neologisms in simpsons', 'neologisms on simpsons', 'culturally significant neologisms from simpsons', 'culturally significant phrases from simpsons', 'quigibo', 'list of neologisms and phrases on simpsons', 'simpsons world', 'last butterfinger', 'simpsons tv show', 'made up words in simpsons', 'simpson fox', 'jokes in simpsons', 'criticisms of declining quality of simpsons', 'circus simpsons tv ad', 'pacifier simpsons tv ad', 'bully simpsons tv ad', 'simpsons neologism', 'kromulent', 'list of neologisms in simpsons', 'list of simpsons tv ads', 'simspons', 'los simpson', 'madeup words in simpsons', 'promulent', 'simpsons tv ads', 'simpsons clue', 'list of simpsons tv ads by product', 'bart s nightmare simpsons tv ad', 'list of simpson characters in advertisements', 'bart s homework', 'smell your breath', 'simpsons words', 'plastic underwear', 'list of neologisms on simpsons', 'critisms of declining quality of simpsons', 'simppsons', 'raid simpsons tv ad', 'quijibo', 'made up words simpsons', 'maggie s party', 'simpson', 'thr simpsons']"
Leon Frank Czolgosz assassinated which US president in 1901?,"26th
","[[0.10087861865758896, 0.8991213440895081]]","['william mckinley jr', 'mckinleynomics', 'president mckinley', 'william mckinnley', 'presidency of william mckinley', 'w mckinley', 'william mckinley politician', '25th president of united states', 'mckinley william', 'william mckinley', 'president william mckinley', 'mckinley administration', 'william m kinley']"
How was Marie Antoinette killed?,"1680
","[[0.2393493503332138, 0.7606506943702698]]","['use of guillotine in paris', 'guillitine', 'guillotines', 'louisette', 'gillotine', 'guillotine', 'guilottine', 'henri languille', 'guillotined', 'fallbeil', 'guilotine', 'gullotine']"
Which play began life as the radio play 'Three Blind Mice' broadcast in 1947?,"1955
","[[0.18713268637657166, 0.8128673434257507]]","['mousetrap', 'mousetrap play', 'agatha christie mouse trap', 'maureen lyon', 'mousetrap show', 'moreen lyon']"
The Dance Class and Absinthe are famous works by which painter?," Edgar Degas
","[[0.5888891220092773, 0.41111084818840027]]","['degas hilaire germain edgar', 'degas', 'hilaire germain edgar degas', 'edgar de gas', 'de gas', 'edgar dégas', 'edgar degas']"
Which American nuclear submarine was the first to sail across the North Pole under the ice cap?," Halibut
","[[0.3812195658683777, 0.6187804341316223]]","['nautilus zoology', 'nautili', 'nautilus', 'eutrephoceratidae', 'nautilidae', 'nautilid']"
What are the first names of David and Victoria Beckham’s daughter?," Harper Seven
","[[0.43014734983444214, 0.5698526501655579]]",['harper seven']
From which country did former Formula One driver Denny Hulme originate?," New Zealand
","[[0.4263215959072113, 0.5736784338951111]]","['newzealand', 'new zealand', 'aotearoa', 'kiwistan', 'new zeland', 'staten land', 'staten landt', 'neo zealand', 'new zeeland', 'mew zealand', 'new zealand s', 'new zealend', 'iso 3166 1 nz', 'nova zeelandia', 'aotearoa new zealand', 'nu tirani', 'subdivisions of new zealand', 'n zealand', 'new zealnd', 'new zealnad', 'new xealand', 'administrative divisions of new zealand', 'maoriland', 'nzl', 'niu tireni', 'new z', 'its got that new zeal', 'n z', 'name of new zealand', 'enzed', 'nz', 'new zaeland', 'new zelanad', 'sheepland', 'etymology of new zealand', 'kiwiland', 'māoria', 'staaten land', 'nouvelle zelande']"
During the reign of which king did the 'Addled Parliament' sit?,"1660
","[[0.16026602685451508, 0.8397339582443237]]","['james second', 'james vii of uk', 'james ii king of england', 'jimmy two', 'king james ii', 'james ii stuart', 'james ii of england and vii of scotland', 'james vii and ii', 'kjii', 'james vii', 'james ii of england vii of scotland', 'james vii of scotland', 'king james vii', 'king james vii of scotland', 'james ii and vii', 'james ii', 'james ii of ireland', 'james of york', 'james vii of scots', 'cultural depictions of james ii of england', 'james ii of england', 'james vi of scotland and ii of england', 'james ii of great britain', 'james stuart duke of york', 'james ii england', 'king james ii of england', 'james vii ii', 'james vii of scotland and ii of england', 'james ii vii', 'james shit', 'james vii of united kingdom', 'james duke of york']"
Who is the lead singer of the Rolling Stones?," Mick Jagger
","[[0.5583270192146301, 0.44167301058769226]]","['propellor boy', 'michael philip jagger', 'basil jagger', 'sir mick jagger', 'sir michael philip 22mick 22 jagger', 'mick jagger', 'sir michael phillip 22mick 22 jagger', 'mic jagger', 'mick jaggar', 'jimbo mutant shinobi', 'jagger mick', 'jaggeresque', 'mcjagger', 'james jagger', 'sir mick', 'sir michael jagger']"
What is either a large rock or a city in Colorado?," Boulder
","[[0.5544704794883728, 0.4455295503139496]]","['boulder geology', 'boulder', 'boulders']"
Which item of athletics equipment weighs 7.26 kilograms for men?,"1500m race weight
","[[0.20689405500888824, 0.793105959892273]]","['shot unit', 'shot disambiguation', 'shot drink', 'shot', 'shot alcohol', 'shot beverage']"
"""Who wrote """"The Hunt for Red October""""?"""," Tom Clancy
","[[0.4804787039756775, 0.5195213556289673]]","['books by tom clancy', 'carrier book', 'tom clancy', 'thomas jr clancy', 'airborne book', 'clancy tom', 'thomas leo clancy jr', 'tom clancy jr', 'tom clancey']"
"In the year 1636 during the Dutch Golden Age, what unlikely item became the fourth leading export after gin, herring and cheese causing a journalist to write a book Extraordinary Popular Delusions and the Madness of Crowds?"," Tulips
","[[0.4532618224620819, 0.5467381477355957]]","['tullip', 'parrot tulip', 'tulipa', 'liriopogon', 'tulips', 'tulipa genus', 'liriactis', 'list of tulip varieties', 'tulip', 'podonix', 'eduardoregelia', 'culture of tulips', 'parrot tulips', '🌷', 'tulip bulb']"
"The worlds largest single structure made by living organisms, and visible from space, what is the name of the major tourist attraction off the coast of Queensland?"," Great Barrier Reef
","[[0.5078118443489075, 0.49218809604644775]]","['douglas shoal', 'great detached reef', 'great barrier reef history', 'great barrier reef', 'great barrier reef world heritage area']"
Which Welsh earldom does Prince Philip hold?,"1st Earl of Chester
","[[0.314050555229187, 0.6859495043754578]]","['merioneth', 'sir feirionnydd', 'county of merioneth', 'merionethshire', 'sir feirionydd', 'sîr feirionydd']"
Who was the Governor of The Bank of England between 1983 and 1993?,"1983-1993: Robin Leigh-Pemberton
","[[0.39606812596321106, 0.6039317846298218]]",['robert leigh pemberton']
Who has played more matches than any other player in the Premier League?," Ryan Giggs
","[[0.4765796959400177, 0.5234203934669495]]","['gary andrew speed', 'gary speed']"
"What was the last Grand National winner ridden by an amateur, before 'Mr. Fisk'?","1994
","[[0.2120688110589981, 0.7879312038421631]]",['grittar']
Which King of England was the son of Henry II and father of Henry III?," Richard I
","[[0.2598256766796112, 0.740174412727356]]","['22john 22', 'john european rulers', 'john disambiguation', 'john song', 'john bishop', 'john']"
"Name the controversial leader of the Dutch right-wing Freedom Party which won 24 seats in the Dutch elections, who was refused entry into the UK for his 'racist views'?"," Geert Wilders
","[[0.5078118443489075, 0.49218809604644775]]","['henk en ingrid', 'gert wilders', 'henk and ingrid', 'geert vilders', 'geert wilders']"
In which month of 1945 did the USA drop the atom bomb on Hiroshima and Nagasaki ?,"8th August
","[[0.29421496391296387, 0.7057850360870361]]",['august']
"The lead singer of The Undertones later achieved success as a solo act, what was his name?"," Johnny Marr
","[[0.4148988425731659, 0.5851011276245117]]","['fergal sharkey', 'feargal sharky', 'feargul sharky', 'feargal sharkey', 'feargul sharkey']"
"Chuck Wepner, an obscure boxer from New Jersey who once went 15 rounds with Muhammad Ali in a fight served as the inspiration for the creation of what on-screen personality?"," Rocky Balboa
","[[0.4148988425731659, 0.5851011276245117]]","['rocky movie', 'mac lee green', 'rocky 1', 'rocky', 'rocky 1976 film', 'rocky 1976', 'rocky i', 'rocky film', 'spider rico']"
"""Who is most likely to perform a """"pas de deux""""?""","2 ballerinas
","[[0.3702253997325897, 0.6297746300697327]]","['ballerinos', 'coryphee', 'prima ballerina', 'ballet dancer', 'ballarina dancers', 'premier danseur noble', 'assolutas', 'danseurs', 'ballerinas', 'primera bailarina', 'prima ballerinas', 'ballerino', 'ballet dancers', 'ballarina dancer', 'coryphée', 'premiere danseuse', 'danseur', 'ballet dancer disambiguation', 'premier sujet', 'absoluta', 'ballerina', 'sujet', 'primae ballerinae']"
The most renowned oracles were Zeus (at Dodona) and Apollo. Where was Apollo based?," Delphi
","[[0.42250463366508484, 0.5774953365325928]]","['delphi', 'δελφοί', 'temple at delphi', 'delphian oracle', 'sibylline rock', 'delphi greece', 'theatre of delphi', 'archaeological site of delphi', 'delphoi', 'temple of delphi', 'tholos delphi', 'temple of apollo delphi', 'delfoi', 'temple of apollo at delphi']"
Where is the Gulf of Bothnia?,"2 seas
","[[0.2628418505191803, 0.7371581792831421]]","['baltic', 'ostsee', 'baltic sea', 'post littorina sea', 'central baltic sea', 'suevian sea', 'suebian sea', 'laanemeri', 'mare suebicum', 'pollution of baltic sea', 'östersjön', 'pollution in baltic sea', 'baltic name', 'baltic coast', 'laeaenemeri', 'mare suevicum', 'läänemeri', 'balticsea', 'itämeri']"
What are Ponte Vecchio and Pont Neuf?,"2 bridges in Florence and Paris
","[[0.4378235340118408, 0.562176525592804]]","['double deck bridge', 'bidge', 'railroad bridge', 'railway bridge', 'bridge failures', 'bridge railing styles', 'bridge railing', 'bridge building', 'types of bridges', '🌉', 'bridgecraft', 'brigecraft', 'railway bridges', 'bridge railing style', 'bridge engineering', 'bridges', 'bridge structure', 'bridge', 'road bridge', 'rail bridge', 'road bridges', 'bridge abutments', 'bridge failure']"
The hovercraft service across the Solent is between Southsea and which Isle of Wight town?," Ryde
","[[0.3486451804637909, 0.6513549089431763]]","['ryde isle of wight', 'ryde']"
What was the original UK name of the chocolate bar which de-anglicised its name in 2006?,"100 Grand Bar
","[[0.3923368752002716, 0.6076632142066956]]","['dime disambiguation', 'dime song', 'dime coin', 'dime', 'dimes', 'dime slang', 'dime sack']"
"""Which former international footballer was known as """"the wizard of the dribble""""?"""," Diego Maradona
","[[0.4148988425731659, 0.5851011276245117]]",['stanley mathews']
"A road system running down the west coast of the Americas, apart from a short gap across the south part of Central America, from Prudhoe Bay, Alaska, to Ushuaia, Argentina, is called what?"," Pan-American Highway
","[[0.6001883149147034, 0.39981159567832947]]","['ruta panamericana', 'trans global highway', 'pan americana', 'convention on pan american highway', 'pan american highway', 'world highway', 'pan am expressway', 'panamerican highway', 'pan american highway route part 2', 'global highway', 'cosmopolitan highway', 'carretera panamericana']"
"In medicine, which suffix denotes the surgical removal of something, usually from inside the body?","ectomy
","[[0.5389832258224487, 0.46101677417755127]]","['ectomy', 'list of ectomies']"
What small Scottish border town is famously associated with marriages of English runaway couples?," Gretna Green
","[[0.5039061903953552, 0.49609383940696716]]","['anvil priest', 'gretna green']"
What was the famous one-word reply of General McAuliffe of the US to a German demand for surrender during the Battle of the Bulge in WWII?,"1
","[[0.18242551386356354, 0.8175744414329529]]","['anthony c mcauliffe', 'anthony mcauliffe', 'nuts', 'anthony clement mcauliffe', 'general mcauliffe']"
In 43AD which Roman Emperor personally took part in the invasion of Britain?,"43AD
","[[0.4378235340118408, 0.562176525592804]]","['tiberius claudius caesar germanicus', 'claudius in popular culture', 'tiberius drusus claudius i', 'emperor claudius i', 'tiberius claudius drusus', 'tiberius claudius nero germanicus', 'claudius i', 'tiberius drusus nero', 'claudius', 'tiberius claudius drusus nero germanicus', 'tiberias germanicus', 'emperor claudius in fiction', 'tiberius claudius caesar augustus germanicus', 'emperor claudius', 'claudius in fiction', 'tiberius claudius caesar', 'tiberius claudius nero caesar drusus', 'claudius roman emperor']"
"The longest floating bridge in the world, the Evergreen Point Floating Bridge is officially named after what former Washington governor?","1980
","[[0.32766830921173096, 0.672331690788269]]","['albert d rosellini', 'albert rosellini', 'albert dean rosellini']"
Who succeeded Trajan as Roman Emperor in 117 AD," Hadrian
","[[0.4532618224620819, 0.5467381477355957]]","['publius aelius hadrianus augustus', 'hadrian publius aelius', 'publius ælius hadrian', 'hadrian publius ælius', 'roman emperor adrian', 'hadrianic', 'publius aelius hadrian', 'hadrian emperor', 'publius aelius traianus hadrianus', 'hadrianic persecution', 'hadrian s', 'publius aelius hadrianus', 'emperor hadrian', 'roman emperor hadrian', 'public aelius hadrianus', 'hadrian', 'imperator caesar traianus hadrianus augustus']"
"""What best-selling book was orginally a work of """"Twilight"""" fan fiction?""","50 Shades of Grey
","[[0.28140559792518616, 0.7185943722724915]]","['50 shades of grey', '50sog', '50 shades', 'ana steele', 'fifty shades of gray', 'christian gray', 'fifty shades', 'christian grey', '50 shades of gray', 'katherine kavanagh', 'kate kavanagh', 'anastasia steele', 'fifty shades of grey classical album', 'fifty shades of grey']"
Whose cottage is on the left of the Constable painting The Hay Wain?," Thomas Gainsborough
","[[0.5774953365325928, 0.42250463366508484]]",['willy lott']
In which city is the Trinity Shopping Centre?," Leeds
","[[0.3775406777858734, 0.622459352016449]]","['higher education in leeds', 'st margarets primary school', 'leeds', 'leeds west yorkshire', 'leeds – bradford uk', 'st margarets school', 'shakespeare primary school', 'leodensian', 'leodis', 'un locode gblba', 'city of leeds transport area', 'leeds uk', 'knightsbridge of north', 'leeds england', 'weather in leeds', 'leeds yorkshire', 'st margaret s primary school horsforth']"
Tavel and Hermitage wines are produced in which French wine growing area?,"100 Miles South of Lyon
","[[0.3380770981311798, 0.6619228720664978]]","['rhodanus', 'rhone river', 'rhône', 'little rhône', 'petit rhone', 'rhône basin', 'river rhone', 'rhone valley', 'grand rhône', 'rhone', 'grand rhone', 'rodano river', 'great rhone', 'river rhône', 'rhône valley', 'rhone river switzerland and france', 'petit rhône', 'rhône river switzerland and france', 'rhone basin', 'la vallee du rhone', 'little rhone', 'great rhône', 'rhône river']"
What are the natural pain-killing substances produced in the brain and pituitary gland?," Endorphins
","[[0.4455295503139496, 0.5544704794883728]]","['endorfin', 'endorphines', 'endorphine', 'endorphin rush', 'endorphens', 'endorphins', 'runners high', 'endorphin']"
"""Which composer, born in Pesaro in Italy in 1792, based his opera, """"The Barber of Seville"""" on the trilogy by French playwright, Pierre de Beaumarchais?"""," Gioachino Rossini
","[[0.33111974596977234, 0.66888028383255]]","['rossini', 'g rossini', 'giacomo rossini', 'giachino rossini', 'gioacchino antonio rossini', 'giacchino rossini', 'gioacchino rossini', 'gioachino antonio rossini', 'giovacchino rossini', 'gioacchimo rossini', 'gioachino rossini', 'ballets to music of gioachino rossini']"
Who is the regular appointed captain of the England Twenty20 cricket team as at September 2012?,"100
","[[0.2628418505191803, 0.7371581792831421]]","['stuart christopher john broad', 'scj broad', 'stuart broad']"
What colour does the planet Neptune appear to be from space?,"3 colours
","[[0.3073580265045166, 0.6926419734954834]]","['bluish', 'blae', 'blue', 'blue colour', 'blueishly', 'bluishness', 'bluer', 'caspian blue', 'blueishness', 'orphan blue', 'light blue', 'blue in human culture', 'bluest', 'blueness', '0 0 255', 'rgb 0 0 255', 'bluishly', 'slate blue color', 'list of terms associated with color blue', 'police car blue', 'blue color', 'dark blue color', 'pale blue']"
A Comte France Landgraf Germany Conde Italy what England?,"1st Duke of Wellington
","[[0.5078118443489075, 0.49218809604644775]]","['jarl title', 'earldom', 'earl', 'earldoms', 'earls', 'jarldom']"
"Because of the flexibility of its branches and growing characteristic, what tree species is most popularly used for bonsai? (hint: gin!)"," Pine
","[[0.6076632142066956, 0.3923368752002716]]","['junipers', 'juniper', 'juniperus', 'juniper species', 'juniper heath', 'juniper extract', 'juniperus classification', 'juniper twig']"
Children's author Mrs Darrell Waters was better known under which name?,"1984
","[[0.1919327825307846, 0.8080672025680542]]","['enid mary blyton', 'little lose hen', 'enid bylton', 'mary pollock', 'little lost hen', 'enid blyton s short stories', 'enid blyton', 'blyton enid', 'enid blighton']"
Where is the volcano Olympus Mons?,"400km north of the equator on Mars
","[[0.3073580265045166, 0.6926419734954834]]",['on mars']
In which war was the napalm incendiary bomb first used?,"1968
","[[0.16026602685451508, 0.8397339582443237]]","['guerre mondiale ii', 'nazi occupation', 'world war ii infobox', 'world war ii', 'war world ii', 'world war ll', 'world war 1939 1945', 'ww ii', 'second world war history and events', 'second world war', 'countries in second world war', 'war world 2', 'world war ii countries and leaders', 'world war ⅱ', 'wwtwo', 'origins and commencement of world war ii', 'second world wars', '2w2', 'world war 2', 'ii world war', 'worldwar2', 'ww', 'ww2', 'ww 2', 'second great war', 'segunda guerra mundial', 'iiww', 'world war two', 'w w 2', 'warii', 'wwii', 'w w ii', '2nd world war', 'word war ii', 'war world two', 'world war ii edited text']"
Who was the mother of King Henry VI of England ?," Joan of France
","[[0.32766830921173096, 0.672331690788269]]","['catherine of france', 'katherine of valois', 'catherine of valois', 'catherine of valois french']"
"Which US singer has had albums called 'Daydream', 'Butterfly', 'Rainbow' and 'Glitter'?"," Whitney Houston
","[[0.39606812596321106, 0.6039317846298218]]","['album chart statistics', 'mariah cary', 'maria carrey', 'maria carey', 'time of your life mariah carey', 'mariah cannon', 'time of your life mariah carey song', 'mariahcarey', 'mariah carey discography disambiguation', 'mariah karey', 'mariah carey discography', 'mariah carrey', 'mariah carey', 'mariah carey music videos videography', 'automatic princess', 'time of your life ring tone', 'list of songs by mariah carey', 'mariah zinfandel', 'moriah carey', 'mariah carey albums', 'time of your life mariah', 'list of music videos for mariah carey singles']"
"""In which T.V. Detective series did """"Charlie Hungerford"""" appear ?""","77 Sunset Strip
","[[0.29421496391296387, 0.7057850360870361]]","['bergerac', 'bergerac disambiguation', 'de bergerac']"
"Dublin, in Ireland, lies on which river?","2 rivers
","[[0.3106943964958191, 0.6893056035041809]]","['anna liffey', 'liffey river', 'river liffey']"
What is the title of Hilary Mantel's book that won her a second Man Booker Prize?," Wolf Hall
","[[0.4532618224620819, 0.5467381477355957]]",['bring up bodies']
In which year were East and West Germany unified?,"1990
","[[0.314050555229187, 0.6859495043754578]]","['one thousand nine hundred and ninety', '1990']"
"Which battle of 23 June, 1757, was a major victory for the British East India Company's troops over the Nawab of Bengal and his French allies?"," Battle of Plassey
","[[0.4073334336280823, 0.5926666259765625]]","['battle of palashi', 'battle of plessey', 'battle of plassey', 'battle of plessy', 'palashi ka yuddha', 'battle of palashee', 'battle of plassy', 'battle of palashey']"
What is the alternative name for the bird Philomel?," Nightingale
","[[0.4687906503677368, 0.531209409236908]]","['nightingale', 'nightengale', 'luscinia megarhynchos', 'erithacus megarhynchos', 'common nightingale']"
Which prototype drink recipe was formulated at Pemberton's Eagle Drug and Chemical House?,"7 Up
","[[0.32766830921173096, 0.672331690788269]]","['coca cola', 'coca cola bottle', 'coke drink', 'coca cola m5', 'production of coca cola', 'coke bottle', 'large coke', 'classic coke', 'ke kou ke le', 'coca cola canada', 'minute maid light lemonade', 'coka cola', 'coke bottles', 'coke mini', 'cocacola', 'coca cola 1', 'coca cola australia foundation', 'coca colas', 'history of coca cola', 'co cola', 'passover coca cola', 'coca cola classic', 'cocacola com', 'minute maid lemonade', 'coke classic', 'coco cola', 'contour bottle', 'coca cola soft drink', 'coke cola', 'great plains coca cola', 'coca cola christmas advert']"
"A staple of the world's greatest sandwich, the Reuben, sauerkraut is made by fermenting what vegetable?"," Cabbage
","[[0.5926666259765625, 0.4073334336280823]]","['cabbages', 'cabbage', 'culture of cabbage', 'green cabbage', 'patta gobhi', 'white cabbage', 'head cabbage', 'capitata f alba', 'staithwort', 'capitata group']"
Which computer-animated film series features the 'Kingdom of Far Far Away'?," Shrek
","[[0.5, 0.5]]","['shrek timeline', 'shrek series season 3', 'shrek first', 'shrek series season 1', 'shrek in swamp karaoke dance party', 'shrek comics', 'shrek 1', 'shrek film', 'shrek movie', 'shrek series season 2', 'שרעק', 'cast of shrek', 'shrek i', 'list of shrek series episodes', 'shrek series season 4', 'shrek', 'shrek one', 'production of shrek']"
"""Which American actress, who committed suicide in Paris in 1979, played the leading female role in the film, """"Paint Your Wagon""""?"""," Jane Russell
","[[0.30404168367385864, 0.6959583163261414]]",['jean seberg']
Who promoted Barclaycard in a TV advert by not having one?,"1990s
","[[0.15203224122524261, 0.847967803478241]]","['rowan atkinson cbe', 'rowan atkinson', 'rowan sebastian atkinson']"
Name the French artist (1798-1863) whose painting 'Liberty Leading The People' is in the Louvre?,"300px-Liberty_Leading_the_People.jpg
","[[0.7577943801879883, 0.2422056347131729]]","['eugene ferdinand victor delacroix', 'eugene de la croix', 'ferdinand delacroix', 'ferdinand victor eugen delacroix', 'ferdinand victor eugene delacroix', 'eugene delacroix', 'ferdinand eugène victor delacroix', 'delacroix ferdinand victor eugene', 'eugène ferdinand victor delacroix', 'eugène delacroix', 'ferdinand victor eugène delacroix', 'delacroix ferdinand victor eugène']"
