question,answer,normalized_aliases
What potent greenhouse gas is produced by the digestive systems of cattle?," Methane
","['ch₄', 'methyl hydride', 'ch4 disambiguation', 'metane', 'carburetted hydrogen', 'ch4', 'methane', 'liquid methane', 'methane plume', 'carbon tetrahydride', 'hydrogen carbide', 'liquid methane rocket fuel', 'methane gas', 'marsh gas firedamp', 'marsh gas', 'methan']"
"""Which bandleader was known as """"The sentimental gentleman of swing"""" because of his smooth trombone style?"""," Glenn Miller
","['tommy dorsey', 'jane new', 'thomas francis dorsey', 'tommy dorsey s orchestra', 'jane dorsey', 'tommy dorsey and his orchestra', 'thomas francis 22tommy 22 dorsey jr', 'tommy dorsey orchestra']"
Which male Russian won the 100/200 metre double at the 1972 Olympics?,"100m: Robert Taylor, 200m: Valeriy Borzov
","['valeriy borzov', 'valeri borzov', 'valery borsov', 'valery borzov']"
Sir Ronald Ross was the first British winner of the Nobel Prize for Medicine in 1902 for his research in combating which disease?," Malaria
","['malaria infection', 'paludism', 'malarious fever', 'malarias', 'malaria prevention', 'fever and ague', 'malaria', 'cerebral malaria', 'malaria paroxysms', 'marsh fevers', 'severe malaria', 'malaria cerebral', 'malariology', 'malarial fever', 'agues', 'swamp malaria', 'falciparum malaria', 'falciform malaria', 'pernicious fever', 'tertian fever', 'mala aria', 'tertian malaria', 'malariologist', 'malarial', 'maleria', 'vivax malaria']"
Which painter married Hortense Fiquet and used her as the subject of many of his paintings?," Monet
","['cézanne medal', 'cezannian', 'paul cezane', 'paul cézanne', 'cezannesque', 'cézannesque', 'cezanne medal', 'cezanne', 'paul cezanne', 'cézanne', 'cézannian']"
"On this day in 1993, in a UN backed referendum, Eritreans voted overwhelmingly in favour of independence from which country ?"," Ethiopia
","['democratic republic of ethiopia', 'ኢትዮጵያ', 'aethiopia', 'federal democratic republic of ethiopia', 'ethiopioa', 'ethopian', 'ethiopian', 'iso 3166 1 et', 'ityop ia', 'ethiopai', 'etheopia', 'ityoṗṗya', 'names of ethiopia', 'name of ethiopia', 'abysinna', 'federal republic of ethiopia', 'abbysinnia', 'fdre', 'æthiopia', 'etymology of ethiopia', 'ethiop', 'prehistory of ethiopia', 'ityop iya', 'ityop pya', 'ethiopia', 'ethiopean', 'abissinia', 'ītyōṗṗyā', 'etiopia', 'ʾītyōṗṗyā', 'habeshistan', 'ityoppya']"
Which angel in Charlie's Angels was played by Jaclyn Smith,"1st
",['kelly garrett']
"Which country has borders with the Central African Republic, Sudan, Zambia, Angola, the Republic of the Congo, Uganda, Rwanda and Burundi (with Tanzania across Lake Tanganyika)?"," Tanzania
","['republique democratique du congo', 'south congo', 'dem rep congo', 'belgian ubanghi', 'congo leopoldville', 'corruption in democratic republic of congo', 'ckn', 'congo democratic republic of', 'congo kinsasha', 'd r congo', 'droc', 'congo k', 'congo drc', 'congo kinshasha', 'congo democratic republic', 'drc', 'description of democratic republic of congo', 'big congo', 'dr congo', 'congo dr', 'sport in democratic republic of congo', 'democratic republic of congo', 'drc congo', 'congo kinshasa', 'drotc', 'dr of congo', 'iso 3166 1 cd', 'republic zaire', 'congo democratic rep', 'democratic rep of congo', 'république démocratique du congo', 'congo 2c democratic republic of', 'democractic republic of congo', 'rd congo', 'rape capital of world', 'dem rep of congo', 'ubanghi belgian', 'd r c']"
"Which battle of 23 June, 1757, was a major victory for the British East India Company's troops over the Nawab of Bengal and his French allies?"," Battle of Plassey
","['battle of palashi', 'battle of plessey', 'battle of plassey', 'battle of plessy', 'palashi ka yuddha', 'battle of palashee', 'battle of plassy', 'battle of palashey']"
"In woodworking joints, what do you insert into your mortise?"," Tenon
","['tenons', 'tenon disambiguation', 'tenon', 'ténon']"
"""What type of car was """"KITT"""" from the """"Knightrider"""" series?""","1986 Pontiac Firebird Trans Am
","['pontiac firebird trans am', 'pontiac transam', '1969 pontiac firebird', 'pontiac trans am', 'pontiac firebird second generation', 'trans am', 'firebird car', 'pontiac firebird', 'pontiac firebird formula', 'screaming chicken', 'pontiac firehawk', 'trans am car', 'flaming chicken', 'pontiac turbo trans am']"
In which year did Queen Elizabeth the Queen Mother die?,"2002
","['2002', 'two thousand and two']"
Name the two tiles with the highest score in Scrabble?,"15 points
",['q and z']
What was Orson Welles’ first film?," Citizen Kane
","['citzen kane', 'citizen cane', 'citizen caine', 'c f kane', 'jim gettys political boss', 'citizen cain', 'citizen kane', 'jim gettys villain', 'citicen kane', 'xitizen cain', 'jedediah leland', 'charlie kane']"
"""According to the opening line of T.S. Eliot's poem 'The Wasteland', which is """"the cruellest month""""?""","1922
","['april', 'april album', 'april film', 'april disambiguation']"
What are Ponte Vecchio and Pont Neuf?,"2 bridges in Florence and Paris
","['double deck bridge', 'bidge', 'railroad bridge', 'railway bridge', 'bridge failures', 'bridge railing styles', 'bridge railing', 'bridge building', 'types of bridges', '🌉', 'bridgecraft', 'brigecraft', 'railway bridges', 'bridge railing style', 'bridge engineering', 'bridges', 'bridge structure', 'bridge', 'road bridge', 'rail bridge', 'road bridges', 'bridge abutments', 'bridge failure']"
Which year was renowned as ‘The Year of Revolutions’?,"1848
","['1848', 'one thousand eight hundred and forty eight']"
Who played the mad legless Captain Rum in the second series of Blackadder?,"1996
","['thomas stewart baker', 'tom baker', 'thomas stewart 22tom 22 baker']"
"Which musical, for long entrenched at the Palace theatre in London, is currently running at the Queens theatre ?","42nd Street
","['grantaire', 'characters of les miserables', 'monsieur javert', 'le mes', 'characters of les misérables', 'les miserables', 'miserable ones', 'fauchelevent', 'les misèrables', 'les misérables', 'epanine', 'les misérables victor hugo', 'plot of les miserables', 'azelma', 'les miserable', 'plot of les misérables', 'champmathieu', 'little cosette']"
"""What insect acts as the transmitting agent in the spread of the infectious disease """"Bubonic Plague""""?"""," Fleas
","['3 4 methylenedioxyhydroxylmethylamphetamine', 'mdohma', '3 4 methylenedioxy n hydroxyl n methylamphetamine', 'methylenedioxyhydroxymethamphetamine', '3 4 methylenedioxyhydroxymethylamphetamine', '3 4 methylenedioxy n hydroxy n methylamphetamine', 'flea psychedelics', '3 4 methylenedioxy n methyl n hydroxyamphetamine', 'methylenedioxyhydroxylmethylamphetamine', 'mdmoha', 'mdhma', 'flea', 'methylenedioxyhydroxymethylamphetamine', '3 4 methylenedioxyhydroxylmethamphetamine', '3 4 methylenedioxy n methyl n hydroxylamphetamine', '3 4 methylenedioxy n hydroxymethamphetamine', 'flea psychedelic', 'methylenedioxymethylhydroxyamphetamine', 'methylenedioxyhydroxylmethamphetamine', 'mdmha', '3 4 methylenedioxy n hydroxylmethamphetamine']"
Who was born Vera Margaret Welsh on 20th March 1917?," Bette Davis
","['shopping vera lynn song', 'sleeping time', 'vera margaret lewis lynn', 'vera lynn discography', 'vera lyn', 'vera lynn', 'dame vera lynn', 'riding my bike', 'vera lynne']"
"Castor (or castoreum) is an oily substance secreted by which animal, and historically used in medicine and perfume?","1. Beaver 2. Bear 3. Fox 4. Moose 5. Rabbit
","['beaverdams', 'beaver pelt', 'beaverdam habitat', 'beaver', 'beavers', 'beaver lodge', 'beaver houses', 'castor zoology', 'salt water beavers', 'beaver house', 'castor genus', 'beever']"
Who did Jai McDowall beat in this years final of Britain's Got Talent?,"2011
",['ronan parke']
The staging of what enormous annual Afro-Caribbean cultural gathering was put in doubt following the London riots of August 2011?,"2011 Notting Hill Carnival
",['notting hill carnival']
Kronos (or Cronus) was the Greek equivalent of which Roman god?," Saturn
","['saturn planet', 'saturn astronomy', 'planet saturn', 'atmosphere of saturn', 'sol vi', 'sun g', 'saturn', 'sixth planet', 'sol g', '♄', 'saturno planet', 'saturnus planet', '6th planet', 'sol 6', 'weather of saturn', 'astronomy saturn', 'saturn s']"
What was the capital of West Germany?," Bonn
","['bönnsch beer', 'bonn district', 'bundesdorf', 'bonn', 'bonn am rhein', 'schwarzrheindorf vilich rheindorf', 'bonnsch beer', 'schwarzrheindorf', 'bonna', 'castra bonnensis', 'bonn germany', 'un locode debon', 'boennsch beer', 'capital of west germany']"
In which year did the liner Queen Mary gain the blue riband on her maiden voyage?,"1934
","['1936', 'one thousand nine hundred and thirty six']"
'Simon Tappertit' appears in which novel by Charles Dickens?," Oliver Twist
","['mr haredale', 'dolly varden character', 'barnaby rudge', 'barnaby rudge tale of riots of eighty']"
"Which film starring Bill Murray includes the line Roses are red, violets are blue, I'm a schizophrenic and so am I?","1984 film Lost in Translation
","['what about bob 1991 film', 'what about bob 3f film', 'what about bob 3f', 'what about bob', 'what about bob 3f 1991 film', 'what about bob film', 'bob wiley']"
What beer was advertised with the slogan Reach for Greatness,"80/20
","['bass musical term', 'basses', 'bass disambiguation', 'bass']"
"House, Hogline, Hacks and Button are all terms used in which sport?","10 pin bowling
","['curling sheet', 'curling rink', 'curling shoes', 'button curling', 'hammer curling', 'curling stone', 'roaring game', 'curling sport', 'curling', 'sweeping sport', 'curling broom', 'chess on ice', 'curling rock', 'history of curling', 'free guard zone']"
What is the name of the policeman in The Noddy stories," Mr. Plod
",['p c plod']
"""Who is """"able to leap tall buildings in a single bound""""?""","007
","['supes', 'superman clark kent', 'kal el', 'supertman', 'übermensch', 'man of tomorrow', 'more powerful than locomotive', 'kirk brent', 'codename patriot', 'stalmannen', 'superman comics', 'faster than speeding bullet', 'superman costume', 'superman secret files', 'superman fictional character', 'superman dc comics', 'jordan elliot', 'super man', 'action ace', 'big blue cheese', 'supaaman', 'big blue boy scout', 'ubermensch', 'superman character', 'gojjum', 'superman', 'metropolis marvel', 'stålmannen', 'superman kal el', 'supraman', 'able to leap tall buildings in single bound']"
"Name the popular writer, who died in 2010, and who rode the Queen Mother's horse Devon Loch when it inexplicably belly-flopped out of contention in the 1956 Grand National?"," Dick Francis
","['richard stanley francis', 'dick francis', 'shattered dick francis novel']"
During which year did the UK television series ‘Emmerdale Farm’ change its title to ‘Emmerdale’?,"1994
","['one thousand nine hundred and eighty nine', '1989']"
What atmospheric layer is damaged by chlorofluorocarbons?,"10
","['stratosphere ozone', 'stratospheric ozone', 'ozonosphere', 'ozone shield', 'ozone layer']"
In which country did Idi Amin settle and die after his exile from Uganda?,"4th of February Republic of the Congo
","['saudi arabaia', 'sauri arabia', 'third saudi state', 'iso 3166 1 sa', 'saudi', 'languages of saudi arabia', 'saudi arabian citizen', 'السعودية', 's arabia', 'k s', 'ksa', 'saudiarabia', 'saudi arabia', 'saudi arabian kingdom', 'saudia arabia', 'etymology of saudi arabia', 'saoudi arabia', 'arabie saoudite', 'saudi arab', 'saudi kingdom', 'kingdom of saudi arabia', 'saudi arabian', 'arabia of sauds', 'al arabiyah as sa udiyah', 'المملكة العربية السعودية', 'saudi map']"
Which ancient relic was stolen by Scottish Activists from Westminster Abbey and returned to Scotland on Christmas day in 1950?,"13th century stone cross
","['jeremiah stone', 'stone of scone', 'stone of scoon', 'scone stone', 'tanist stone']"
The cha-cha-cha is a dance developed from the mambo in 1950 in which country?," Cuba
","['cuba', 'people s republic of cuba', 'administrative divisions of cuba', 'cuban news agency', 'iso 3166 1 cu', 'etymology of cuba', 'isla juana', 'communist cuba', 'second republic of cuba', 'republic of cuba', 'república de cuba', 'cuba island', 'republica de cuba', 'prehistory of cuba', 'red cuba', 'name of cuba', 'subdivisions of cuba']"
Where in the body is the stapes bone?,"3rd middle ear bone
","['ear disambiguation', 'ear']"
For which minor sport do the USA and Europe compete annually for the Mosconi Cup?,"9-ball
","['pools', 'pool', 'pool disambiguation', 'pool film', 'pooling disambiguation', 'pooling']"
Nicky Morgan is the current Secretary of State of which Government Department?," Education
","['education system', 'educaton', 'educatee', 'education programme', 'galician universities', 'intellectual education', 'education issue', 'educationally', 'education program', 'educationists', 'teaching', 'book learning', 'educationism', 'educations', 'educational policy', 'uneducable', 'educably', 'educatability', 'uneducableness', 'uneducability', 'education', 'educationalist', 'educational issues', 'educating', 'educable', 'educational', 'educational system', 'educableness', 'educate', 'n 8 school', 'educationist', 'educability', 'educates', 'educated', 'education studies', 'educators', 'educationalists', 'uneducably']"
What is the art of decorating materials with marks resulting from the controlled application of a heated object?," Embossing
","['pokerwork', 'pyrographies', 'pyrographers', 'poker work', 'pyragraphy', 'wood burning', 'pyrograph', 'pyrogravure', 'woodburning', 'pyrography']"
In which event did Amy Williams win a gold medal for Britain at the 2010 Winter Olympics?,"1000m Sprint
","['women s skeleton', 'bob skeleton', 'skeleton racing', 'skeleton sport', 'skeleton winter sports', 'skeleton bob', 'skeleton sledding']"
What colour is the flesh of a lychee?," Red
","['color white', 'white political adjective', 'whitishness', 'rgb 255 255 255', '255 255 255', 'ffffff', 'whitishly', 'white colour', 'man on white horse', 'white', 'whiter', 'white finn', 'whitest']"
"Which US singer has had albums called 'Daydream', 'Butterfly', 'Rainbow' and 'Glitter'?"," Whitney Houston
","['album chart statistics', 'mariah cary', 'maria carrey', 'maria carey', 'time of your life mariah carey', 'mariah cannon', 'time of your life mariah carey song', 'mariahcarey', 'mariah carey discography disambiguation', 'mariah karey', 'mariah carey discography', 'mariah carrey', 'mariah carey', 'mariah carey music videos videography', 'automatic princess', 'time of your life ring tone', 'list of songs by mariah carey', 'mariah zinfandel', 'moriah carey', 'mariah carey albums', 'time of your life mariah', 'list of music videos for mariah carey singles']"
Who was Jessica Rabbit's husband?," Eddie
","['eddie valiant', 'benny cab', 'who framed roger rabbit characters', 'list of who framed roger rabbit characters', 'roger rabbit character', 'judge doom', 'roger rabbit', 'rodger rabbit', 'baby herman', 'toon patrol']"
Which composer's music forms the basis of the ballet Pineapple Poll?,"18th century
","['sullivan disambiguation', 'sullivan crater', 'sullivan']"
"Which singer appears as bar-owner 'JD' in the film 'Lock, Stock and two Smoking Barrels'?","2 Tone
","['stinging', 'sting', 'sting disambiguation', 'stings', 'sting pain']"
"In the final Harry Potter novel, who becomes headmaster of Hogwarts School?"," Albus Dumbledore
","['tobias snape and eileen prince', 'half blood prince character', 'serverus snape', 'professor snape', 'severus snape', 'severus prince', 'snivellus', 'half blood prince', 'tobias snape', 'eileen prince', 'severes snape']"
Who wrote the play 'Private Lives'?," Coward
","['coward sir noel pierce', 'cowardian', 'coward sir noël peirce', 'sir noel coward', 'hernia whittlebot', 'noël coward', 'marquise', 'nöel coward', 'sir noël pierce coward', 'noël pierce coward', 'queen was in her parlour', 'sir noël peirce coward', 'cowardesque', 'star quality short story', 'sir noël coward', 'noel peirce coward', 'sir noel peirce coward', 'noel coward', 'sir noel pierce coward', 'noël peirce coward', 'star quality play', 'noeel coward']"
In which North African country was Yves St. Laurent born as Henri Donat Mathieu?,"1936
","['al jumhuriyah al jaza iriyah ad dimuqratiyah ash shabiyah', 'algeria', 'algerian peoples democratic republic', 'republic of algeria', 'algery', 'al jumhūrīyah al jazā irīyah', 'الجزائر', 'people s republic of algeria', 'الجمهورية الجزائرية الديمقراطية الشعبية', 'etymology of algeria', 'iso 3166 1 dz', 'algerie', 'popular democratic republic of algeria', 'algeria country', 'ad dīmuqrāṭīyah ash sha bīyah', 'name of algeria', 'people s democratic algerian republic', 'subdivisions of algeria', 'algérie', 'people s democratic republic of algeria', 'algerian state', 'algerian people s democratic republic', 'subdivision of algeria', 'administrative divisions of algeria', 'république algérienne démocratique et populaire', 'al jumhuriyah al jaza iriyah', 'dzayer', 'ad dimuqratiyah ash sha biyah']"
"In the George Orwell novel Animal Farm, what sort of animal was Napoleon ?"," Pig
","['pigs album', 'pig disambiguation', 'pig game', 'pig film', 'pig mammalia', 'pigs film', 'pigs', 'pigs disambiguation', 'pig']"
Who wrote the books ‘The Good Companions’ and ‘An Inspector Calls’?," J B Priestley
","['j b preistley', 'j b priestly', 'john boynton priestley', 'j b priestley', 'jb priestley']"
"Which nickname was given to the American WWII general, George Patton?","7th Army Group
",['blood and guts']
What language did the Pennsylvania Dutch speak?," German
","['german', 'germans disambiguation', 'german disambiguation']"
Which Indian tribe did Sitting Bull belong to?," Lakota
","['eastern sioux', 'sioux people', 'soo', 'na˙towe˙ssiw', 'su people', 'ihanktonwan', 'su', 'sue', 'sioux', 'sue people', 'siouian', 'soo people', 'oceti sakohowin', 'sioux indian', 'souix']"
"On this day, 8th November, which famous poet who was blind in his later years, died in his home in London in 1647?"," John Milton
","['miltonists', 'j milton', 'joannis miltoni', 'miltonesque', 'milton john', 'post miltonic', 'miltonic', 'giovanni milton', 'miltonian', 'katherine woodcock', 'fleecy star', 'john milton', 'milton j', 'miltonist']"
"The wood from which common tree was traditionally used to make tennis racquets, snooker cues and hockey sticks"," Birch
","['ash disambiguation', 'ash']"
Who was the son of King John and Isabella of Angoulme who became King of England when 9 years old?,"1st Henry
","['enrique iii', 'henry iii disambiguation', 'henry third', 'henry iii', 'heinrich iii', 'hendrik iii', 'enrico iii', 'henry 3', 'king henry iii']"
"Which country was proclaimed a republic in 1867, following the withdrawal of the French administration and the execution of Emperor Ferdinand Maximilian?"," Mexico
","['mexican coast', 'united mexican states', 'mexican united states', 'mexxico', 'mexic', 'estados unidos de mexico', 'mexique', 'mountains of mexico', 'mehico', 'republic of mexico', 'mexican republic', 'sierra de la estrella', 'mexican', 'united states of mexico', 'central mexico', 'eum', 'estados unidos mexicanos', 'old mexico', 'etymology of mexico', 'iso 3166 1 mx', 'untied mexican states', 'messico', 'mexico country', 'mexiko', 'mexican union', 'meixcan', 'estados unidos de méxico', 'united states of mexicans', 'mexican federal republic', 'mejico', 'united state of mexico', 'méxico', 'mexico', 'mexicó', 'méjico']"
Which Grand Slam tournament uses the distinctive serving pose of the Swedish player Stefan Edberg on its logo?," Wimbledon
","['australasian championships tennis', 'ozzy open', 'australian open main draw wildcard entries', 'australian open juniors', 'aus open', 'australian championships', 'australian open tennis', 'grand slam of asia pacific', 'australian open – main draw wildcard entries', 'australian open', 'australian tennis open', 'australian open december', 'australian open january', 'australasian champion', 'australasian championships', 'australian championships tennis', 'australian open qualifiers', 'australia open', 'australian open wildcards', 'aussie open']"
Who acceded the English throne after the death of Edward III?," Richard II
","['richard ii king of england', 'richard ii', 'richard ii of england', 'richard duke of cornwall', 'king richard ii', 'richard ii england', 'richard ii king of english', 'king richard ii of england']"
"What Latin term is used to mean 'word for word', or 'exactly the same words'?","ipsis verbis
","['verbatim disambiguation', 'verbatum', 'verbatim']"
The green jersey is worn by the Tour de France's?,"1st placed cyclist
",['best sprinter']
How many apostles are there in the painting ‘The Last Supper’ by Leonardo da Vinci?,"12
","['twelve', '12']"
In which country did the Contras battle the Sandinistas throughout most of the 1980s?," Nicaragua
","['republic of nicaragua', 'nicaragua central america', 'nicarugua', 'republica de nicaragua', 'etymology of nicaragua', 'bibliography of nicaragua', 'health in nicaragua', 'nicaragua', 'subdivisions of nicaragua', 'nicaraguan', 'administrative divisions of nicaragua', 'república de nicaragua', 'nicuragua', 'sport in nicaragua', 'iso 3166 1 ni']"
"""Who starred as AC Slater in """"Saved by the Bell""""?"""," Scott Wolf
","['mario lópez', 'mario lopez', 'courtney mazza']"
"In May 2009, Millvina Dean died aged 97. She was the last survivor of which historic event?","1912 Titanic sinking
","['sinking of r m s titanic', 'bridge of titanic', 'sinking of titanic', 'titanic sinking', 'timeline of sinking of rms titanic', 'shut up shut up i m working cape race', 'titanic disaster', 'sinking of rms titanic']"
What country do Legos come from originally?," Denmark
","['dinamarca', 'denmarc', 'danimarca', 'mainland denmark', 'denmarke', 'kingdom of denmark', 'danemark', 'danmoerk', 'denmark', 'danska', 'danmork', 'denemarke', 'media of denmark', 'iso 3166 1 dk', 'danish kingdom', 'daenemark', 'kingdomofdenmark', 'administrative divisions of denmark', 'dänemark', 'subdivisions of denmark', 'kongeriget danmark', 'danmörk', 'eastern denmark', 'denmark proper', 'media in denmark']"
Which was the 50th and last state to become part of the USA?,"1959
","['haiwii', 'transport in hawaii', 'hawaii usa', 'us hi', 'hawaii united states', 'fiftieth state', 'health in hawaii', 'moku 60a ina o hawai 60i', 'hawaii', 'culture of hawaii', 'haiwaii', 'hawaii u s state', 'hawai i state', 'hawai i resident', 'state of hawai 60i', 'religion in hawaii', 'demographics of hawaiʻi', 'ハワイ', 'languages of hawaii', 'hawii', 'hawaiʻi', 'mokuʻāina o hawaiʻi', 'hawai i', 'state of hawai i', 'hawai 60i', 'haway', 'hawaiian culture', '50th state', 'demographics of hawaii', 'hawái', 'moku 60aina o hawai 60i', 'u s hi', 'state of hawaiʻi', 'howaii', 'owhyhee', 'hawaii resident', 'aloha state', 'education in hawaii', 'hawwaii', 'economy of hawaii', 'mokuʻa ina o hawaiʻi', 'hawaii state', 'state of hawaii', 'hawaií', 'geography of hawaii', 'hawaï']"
"Who wrote the music for 'Billy Elliot, The Musical'?"," Elton John
","['lady choc ice', 'sir elton', 'kenneth dwight', 'john elton', 'list of elton john awards', 'reginald k dwight', 'nancy treadlight', 'sir john elton', 'ann orson', 'rockaday johnny', 'redget buntovan', 'reginald dwight', 'elton john band', 'reginald kenneth', 'renate blauel', 'reg dwight', 'reggie dwight', 'elthon john', 'reginald kenneth dwight', 'elton hercules john', 'lord choc ice', 'mrs elton john', 'elton john', 'elton john discography', 'reg kenneth dwight', 'elton h john', 'sir elton hercules john cbe', 'sir elton john', 'eltonjohn', 'elton john s discography']"
"Seals, sea lions and walrus belong to which suborder of manunals?"," Phoca
","['seacalves', 'sexual behavior of pinnipeds', 'mating seals', 'sea calves', 'finfooted mammal', 'seal animal', 'la foca', 'seacalf', 'seal reproduction', 'anatomy of pinnipeds', 'baby seals', 'pinniped', 'seal zoology', 'reproductive behavior of pinnipeds', 'pinnipeda', 'pinnipedia', 'seal mammal', 'sea calf', 'pinnipeds']"
"Held just outside Bridgeville, DE, Friday marks the start of the world championship in the art of throwing what for distance, using classes such as Air, Centrifugal, Catapult, Trebuchet, and Human Powered?","2023 World Jousting Championships
","['pumpkin farming', 'punkin', 'pumpkin', 'pumpkins', 'pumpkin cultivation', 'pumpkining']"
How are comedians Paul & Barry Elliot better known?,"2 Live Crew
","['barry chuckle', 'barry elliot entertainer', 'chucklehounds', 'paul elliot', 'paul chuckle', 'barry elliot', 'chuckle hounds', 'indiana chuckles and kingdom of mythical sulk', 'chuckle brothers', 'chuckle bros']"
Which Greek goddess is the muse of erotic poetry?," Aphrodite
","['erato', 'ἐρατώ']"
What was the name of the dog in Enid Blighton's Famous Five books?,"100
","['timmy', 'timmy disambiguation']"
What dangerous type of horse race involves jumping over various fences and ditches?,"400
","['horse racing steeplechase', 'chase racing', 'steeplechase racing in united states', 'jumps racing', 'steeplechases', 'steeplechase racing in australia', 'steeplechasing', 'steeplechase', 'jumps races', 'steeple chasing', 'steeplechase horse racing', 'jumps race', 'steeplechaser', 'steeple chase']"
A pride is a group of what type of animal?," Lions
","['lions mating', 'kalahari lion', 'sexual behavior of lions', 'lion', 'mating lions', 'reproductive behavior of lions', 'lion attack', 'lion cub', '🦁', 'mane lion', 'p leo', 'lion animal', 'african lion', 'panthera leo', 'lions', 'lion penis', 'lionesses', 'king of beasts', 'lion s penis', 'felis leo', 'african lions', 'man eating lions', 'mane of lion']"
The Cantonese/Chinese dish 'foo yong' (also 'fu young') is similar to?,"1. French 'faux-filet' 2. Italian 'fettucine'
","['denver omelette', 'ahmlet', 'omellette', 'omelette', 'western omelette', 'omelettes', 'omelett', 'omellete', 'denver omelet', 'denver omlette', 'omlette', 'omelets', 'cheese omelet', 'omelet', 'western omelet']"
"Prudhoe Bay Oil Field, the largest in North America, is in which US state?"," Alaska
","['аляска', 'alaska usa', 'alaska city alaska', 'alaskan', 'rail transport in alaska', 'alyaska', 'city alaska', 'ulaska', 'alaksa', 'film industry in alaska', 'alasca', 'culture of alaska', 'elaska', 'largest us state', 'forty ninth state', 'us ak', '49th state', 'recording district alaska', 'alaska united states', 'state of alaska', 'alaska state', 'town alaska', 'alaska', 'alaska heritage resources survey', 'religion in alaska', 'alaska u s state', 'arasuka', 'alaskans', 'education in alaska']"
"What is a large semi-aquatic rodent native to Canada, much of the United States, and parts of northern Mexico that constructs homes out of sticks, twigs, and mud in lakes or streams?"," Muskrat
","['beaverdams', 'beaver pelt', 'beaverdam habitat', 'beaver', 'beavers', 'beaver lodge', 'beaver houses', 'castor zoology', 'salt water beavers', 'beaver house', 'castor genus', 'beever']"
The Biba boutiques were at the heart of swinging London and at one time had the highest turnover of any British retail company. Who founded and ran Biba?," Jane Birkin
",['barbara hulanicki']
Mjosa (more precisely Mjøsa) is the largest lake of which country?," Norway
","['norwegen', 'kongeriket norge', 'norway', 'republic of norway', 'noorwegen', 'norvege', 'mainland norway', 'kingdom of norway', 'sport in norway', 'noreg', 'noruega', 'norwegia', 'noregur', 'royal kingdom of norway', 'name of norway', 'kongeriket noreg', 'norwegian kingdom', 'etymology of norway', 'norvège', 'iso 3166 1 no', 'norwegian state']"
Which US President was known as 'The Rail-Splitter' and 'The Great Emancipator'?,"16th
","['lincoln s cabinet', 'president lincoln', 'president abe lincoln', 'abe lincoln', 'abraham lincoln and american civil war', 'presedent lincon', 'honest abe', 'abe licnoln', 'lincoln', 'lincoln abraham', 'abraham lincoln president', 'abaham lincoln', 'president abraham', 'abe lincolin', 'lincolnian', '16th president of united states', 'abaraham lincoln', 'abraham lincoln', 'lincoln president', 'abraham lincon', 'president abraham lincoln', 'rail splitter', 'abraham president', 'abe lincon', 'abrahm lincoln', 'aberham lincoln', 'great emancipator', 'abraham lincoln s life', 'honest abe lincoln']"
Which London museum occupies part of the old Bethlehem Royal Hospital?," British Museum
","['imperial war museum act 1955', 'imperial war museum act 1920', 'imperial war museum', 'iwm london', 'lord ashcroft gallery', 'imperial war museums']"
